node_id	module_merged	node_name
14173	1	KRTCAP3
14248	1	CCT4
14249	1	BMF
14326	1	NSMCE1
14352	1	HERPUD2
14382	1	ESYT1
14432	1	RPF2
14445	1	TAF12
14543	1	FAM207A
14578	1	DPH5
14639	1	POLR3C
14653	1	YIPF3
14672	1	XKR8
14711	1	WDR74
14748	1	ATP5MD
14751	1	XRN2
14828	1	THOC5
14854	1	TEAD4
14878	1	RAP1GDS1
15013	1	UFSP2
15049	1	NCLN
15092	1	NONO
15122	1	ANKRD53
15134	1	C9orf50
15219	1	PRKCZ
558	1	RPS26
593	1	RPL10L
600	1	RPS3A
1019	1	RPS18
1253	1	RPL23
2675	1	RPS13
3730	1	RPS4Y1
4294	1	RPL36A
4955	1	RPL4
5347	1	RPL26L1
5956	1	RPL28
6028	1	RPL17
6273	1	RPL3L
6773	1	RPL41
8262	1	RPL39L
8265	1	RPL7A
8529	1	RPL3
8907	1	RPS8
10274	1	RPL22L1
11346	1	RPS4Y2
12078	1	RPL18A
3124	1	ILRUN
12883	1	RPSA
11242	1	RPL13
6860	1	RPS19
7494	1	RPS6
13984	1	RPS14
13730	1	RPL15
10632	1	RPS27
8609	1	RPS7
8882	1	RPL11
3343	1	RPS10
9087	1	RPS17
6661	1	RPL35A
1852	1	RPS28
1297	1	RPS24
1262	1	RPS29
3912	1	RPL31
12961	1	RPL14
5585	1	RPS27L
3999	1	RPL5
7475	1	GATA1
8653	1	RPS9
15161	1	RPL24
8413	1	EIF4G1
5368	1	RPL21
9787	1	RPLP0
3665	1	RPS2
11530	1	RPL36AL
369	1	RPL10
4523	1	RPS3
7877	1	RPL27
4601	1	RPS20
10304	1	RPS16
14083	1	RPL13A
2003	1	RPL18
10444	1	RPS25
10047	1	RPS4X
992	1	RPL30
13772	1	RPL12
3989	1	RPL8
10044	1	RPL6
8405	1	RPS11
10827	1	RPL10A
7174	1	FAU
13604	1	RPL27A
15191	1	RPL9
10393	1	RPL26
2245	1	RPS23
11532	1	RPL23A
7950	1	RPL7
10267	1	RPS5
10371	1	RPL29
11481	1	RPS21
12156	1	RPL38
7203	1	RPS15
9728	1	RPL22
4420	1	RPL36
4670	1	RPLP1
7517	1	RPS12
814	1	RPL19
4713	1	ALKBH7
12101	1	RPL35
11984	1	RPS15A
3475	1	RPLP2
563	1	RPL37A
4650	1	RPL39
10605	1	RPL32
773	1	RPL34
12952	1	RPL37
1681	1	EIF2S3
9299	1	NPM3
3	1	EIF2S2
14988	1	MRPS33
5619	1	EIF4A1
4502	1	MRPL24
11642	1	MAGEB2
66	1	SPAG7
1029	1	ADPRS
1085	1	RPP30
1222	1	MYC
1974	1	EPRS1
2025	1	WDR76
3131	1	HASPIN
3215	1	PLEKHH1
3621	1	SUV39H1
3650	1	DLGAP5
4280	1	POLR1G
5228	1	WDR77
5825	1	DDX52
6732	1	LRIF1
7276	1	GTF3C1
7414	1	GSTA1
7537	1	H2BC7
8833	1	SPDL1
9986	1	RTF2
10120	1	VARS1
10286	1	NAV2
11533	1	BAG2
12035	1	TRABD2A
12496	1	MIDEAS
14007	1	CDYL
14335	1	ALKBH1
14370	1	H1-0
14741	1	ZNF586
14887	1	H3C7
4758	1	RHOF
5002	1	IST1
5242	1	ZCCHC9
6578	1	CCDC62
8553	1	RPP38
