# Graph Type: undirected
CCDC85B	ENKD1
DVL3	ZNF408
DVL2	ENKD1
ZBTB16	ENOX1
PLSCR1	HEY2
AKIRIN2	LNX1
LNX1	KXD1
TBL3	APPBP2
RAP2B	RUNDC3A
CAVIN2	PLEKHF2
SYT17	TSC22D4
NMI	EMILIN1
FHL3	RBM42
ZNRD2	CCT5
TEAD3	WWTR1
NEU4	RBPMS
CALCOCO2	ZNF408
LNX1	DVL3
SP100	SUMO1
CCNK	CDK18
CHTF8	EIF4EBP1
CEP70	ENKD1
TRIM29	MAD1L1
ZBTB48	DVL3
USP2	BEGAIN
LNX1	EHMT2
TMSB4Y	EWSR1
PRKAR1A	PYCARD
YIPF4	YIPF3
AMOTL2	MAD1L1
EWSR1	TRPV5
APPBP2	PCSK5
PAICS	LNX1
EIF3E	RUNDC3A
AP2B1	TENT5C
CAPN3	NECAB2
HIF1AN	INVS
HNRNPM	LMO3
TSC22D3	HPCAL4
NECAB2	CCDC33
OTX1	CHIC2
CCDC85B	PIDD1
HNRNPC	LMO3
HGS	TADA2A
MATK	EWSR1
BRME1	AIMP2
OTX1	RBPMS
RBPMS	ENKD1
FBP1	LNX1
APPBP2	SYT11
BEGAIN	ENKD1
FXR2	NECAB2
NOL3	ETNK2
TUBGCP4	MAD1L1
FOSL1	CALCOCO1
CEP63	KXD1
ZNRD2	FXR2
ENOX2	ENOX1
LMO3	MBIP
TTR	ATF4
TRIM29	JAKMIP2
PLSCR1	C10orf62
PRKCZ	PARD6A
NME1	NME3
TADA2A	TADA3
GYG2	GYS1
KHDRBS3	SIAH1
E2F6	TFDP2
EIF4E	EIF4EBP1
GEMIN6	GEMIN7
EPS8	BAIAP2
GNMT	GNMT
FOSL1	JUNB
BHMT	BHMT
DDIT3	BATF
MAD1L1	MAD1L1
FANCG	FANCA
MAGOHB	RBM8A
EIF3G	EIF3C
ZBTB48	ZBTB8A
LMO3	ZBTB8A
LNX1	ZBTB8A
ZNF276	ZBTB8A
ZBTB8A	ZNF408
BCL2	BID
BID	BCL2L1
BID	BCL2L2
MCL1	BMF
BID	MCL1
MYC	DNMT3A
KNL1	MIS12
MIS12	DSN1
ERBB3	GRB2
PIK3R2	ERBB3
ERBB3	CSK
ERBB3	SHC1
ACAN	LUM
NSL1	DSN1
KNL1	DSN1
CBX3	DSN1
PMF1	DSN1
CBX5	DSN1
ZWINT	DSN1
RET	STAT3
STAT3	EPHA5
MTOR	RPTOR
FKBP1A	RPTOR
MMP14	LUM
GIPC1	MYO6
CUL1	FBXO4
LIG4	PNKP
PSTPIP1	FDFT1
MAGEB2	USP7
GSK3B	GEMIN4
LGALS9	CTNNB1
GEMIN4	RNPS1
ALDH16A1	PAAF1
PSTPIP1	RPL3
YWHAB	RAI14
KHK	AP2S1
GEMIN4	NFKBIL1
ARPC2	ACTR3B
WDCP	RUVBL1
PSTPIP1	ATIC
DOK2	PSMD10
ARPC1A	ACTR3B
MRPS22	NFKBIL1
ARRB2	NOLC1
PPM1B	RASGRP1
EIF2D	RAD51
DKK1	CORO1A
RAD51	CAB39
ARRB1	KHK
EIF4EBP1	UBAC1
WDCP	RUVBL2
TNFAIP8	PTP4A2
RNPS1	NRDE2
ARRB2	TCOF1
ACTR2	ACTR3B
SKP1	FBXO4
ARRB2	DDX27
AKTIP	HOOK1
STK16	ICA1
CDC25B	KRT85
PSTPIP1	RPL23A
EPPK1	TRAF6
AP3B1	ARRB2
RFXANK	NFKBIL1
RAB11A	RAB11FIP1
KRT85	TWF2
FNTB	PTP4A2
EPPK1	ARF6
RHOC	ARHGDIA
ARPC4	ACTR3B
ZNRD2	DOK2
SNRPB	KHK
ARPC1B	ACTR3B
MAGEB2	RPL23A
KRT85	LYAR
KPNA3	ARRB2
EPPK1	GSTK1
YWHAG	RAI14
PFAS	TRAF6
STK16	PASK
EPPK1	TSC22D1
FABP4	OSTF1
GIPC1	GEMIN4
LUC7L	NFKBIL1
LRPPRC	TNFRSF10D
PTP4A3	FANCI
TNFAIP8	PTP4A1
MAGEB2	RPS19
KPNA4	ARRB2
PSTPIP1	RPL32
TGFB1I1	CCNA1
LGALS9	JUP
CASP4	SMC3
MAGEB2	RPL31
PSTPIP1	BZW1
DOK2	RAB10
RAD51	TIMM13
PSTPIP1	RUVBL1
PNN	NFKBIL1
ARRB1	BOP1
KRT85	PLEKHB2
HNF1A	PCBD1
S100A9	TAGLN
PFAS	VHL
BCAS1	DYNLL1
BAG2	MLF2
PSTPIP1	RPL31
ZNRD2	RUVBL2
MAGEB2	RPS14
MAGEB2	RPS16
LGALS9	SLC1A5
STK16	EBLN2
YWHAB	DENND4A
TUSC2	EBLN2
ARRB2	BOP1
HNF1A	PCBD2
DOK2	ASF1B
STK16	HNF4A
PPM1B	VIL1
CDK4	ACTR3B
DFFA	DFFB
MRPS34	NFKBIL1
DEDD	KHK
KHK	LYZ
RPA3	PARP3
PKIG	KPTN
NOL3	PNKP
ILK	FANCI
MRPL44	NFKBIL1
CHMP6	RAB17
YWHAQ	RAI14
GSN	CASP4
ARPC5L	ACTR3B
PSTPIP1	BZW2
IQGAP2	UBAC1
ICA1	MKKS
GEMIN4	ILK
PSTPIP1	RPL35A
TIMM50	AKTIP
RHOC	VHL
ASF1B	CDIN1
EBLN2	CAB39
RPL23A	PACSIN3
FANCC	EBLN2
TUSC2	SGO2
ARRB2	ARRB1
BAG2	PSMC4
ATG12	ATG10
CASP4	DNAAF5
PES1	ARRB1
TIMM8A	TIMM13
S100A9	ASB3
PTP4A3	POLD1
DGKE	NUDC
NFKBIL1	MRPS18B
FSCN1	GNAS
PFAS	TFE3
H2BC21	PARP3
PUF60	IGF2BP2
SPOP	DOK2
AURKA	RAB10
AP1S1	EBLN2
ARPC3	ACTR3B
MAGEB2	RPL36
PFAS	MCC
YWHAG	KRT85
NEDD8	FBXO4
HNF4A	RAD50
SNRPB	GEMIN4
CASP4	SRPRB
DOK2	DNAJB11
S100A9	USF2
ARPC5	ACTR3B
NOL3	PACSIN3
BCAR3	TARS1
MYH10	TNFRSF10D
TRIP6	AFAP1L1
VHL	FSCN1
DGKE	SET
ARRB2	MRPL44
PAICS	DGKE
HNRNPL	DOCK4
MAGEB2	RPL34
CCNA1	VPS18
TWF2	ACTR3B
PSTPIP1	RPL36
RASGRP1	VHL
MYO1D	ILK
KHK	RNPS1
MOV10	PUF60
PSTPIP1	RPL35
YWHAQ	RASGRP3
PSTPIP1	RPL29
KHK	CDK5RAP3
TIMM50	PELO
ARRB2	MRPL43
CASP4	SLC25A22
FBL	ARRB2
AURKA	CDKN2A
PFAS	TNFRSF10D
SF3B3	TNFRSF10D
CASP4	SMC1A
MAGEB2	RPS9
NUAK1	S100A9
CIAO1	MCM5
MAGEB2	CSNK2B
PELO	FANCI
YWHAZ	RAI14
YWHAZ	RALGPS2
PES1	ARRB2
SIRT2	KRT78
EBLN2	WRAP73
HNF4A	PABPC4
PSTPIP1	RPL34
FAM83G	YWHAQ
ATG12	ATG16L1
CDK2	CASP4
FBL	PASK
PSTPIP1	RPL37A
ARRB2	RPL7L1
BCAS1	RUVBL2
PDHA1	DGKE
TIMM50	MAGED1
YWHAG	BAIAP2
YWHAQ	DENND4A
YWHAQ	PAK6
PSMB1	CASP4
MCC	CCNA1
BCAR3	PABPC1
CDK4	GEMIN4
S100A9	ILK
ITFG2	KPTN
RUNX3	PHB2
FANCI	GSTK1
PSMB1	PASK
MYO1D	PELO
ARRB2	RAB5C
MAGEB2	RPL28
AURKA	SOD2
TRIM28	TNFRSF10D
WDR5	PASK
CFLAR	DOK2
NEK6	FANCI
TIMM50	PHB2
FANCI	MAGED1
ZNRD2	DSG1
MATR3	GSTK1
NTHL1	MRM3
YWHAB	CGN
CASP4	MSH6
BCAR3	IMPDH2
EIF2S3	CASP4
TSPAN7	KPTN
ZNRD2	PRMT1
BCAR3	IARS1
CASP4	CTNNBIP1
KRT82	LYAR
EPPK1	PHB2
SNRPA1	HNF1A
FIBP	GEMIN4
MAGEB2	RPS11
UBE2G2	MALT1
CASP4	GCN1
KPTN	AUP1
KHK	RANBP3
CORO1A	UBE2G2
YWHAG	DENND4A
PFAS	EPB41
TTC4	OBI1
CASP4	USP9X
AURKA	UBE2L3
HNF1A	RHPN2
FES	PSMD13
YWHAG	CGN
PIK3R1	LCP2
ITK	LCP2
NCK1	LCP2
TERT	NCL
MAP3K8	NFKB2
MAP3K8	RELA
MAP3K8	REL
USP2	NFKB2
RELA	IQGAP2
TNF	TNFRSF1B
GEMIN4	BRF2
BRF2	FANCI
UFL1	CASP4
CASP4	VDAC3
KRT85	DLG3
FABP4	EXT2
HNF4A	EXT2
SNRNP200	MYC
MYC	HEATR1
MYC	EEF1AKNMT
MYC	NUP205
MYC	MSH6
MYC	MCM7
MYC	POLE
MYC	FANCI
MYC	GCN1
MYC	DDX24
MYC	ARHGEF2
MYC	GEMIN4
MYC	PRPF8
MYC	MYBBP1A
MYC	EXOC4
MYC	GTF3C3
MYC	MAX
MYC	MKLN1
MYC	EFTUD2
MYC	SMARCA4
MYO1B	MYC
MYC	HNRNPC
MYC	PDS5A
PSTPIP1	DDX21
AR	HNF4A
GCGR	BMPR2
AR	AKT1
AR	IL6ST
AR	RAD9A
AR	SMAD3
AR	NCOA6
NCOA6	ESR2
RARA	NCOA6
BCAR1	TRIP6
SRC	TRIP6
FES	BCR
AR	CTNNB1
MYC	NMI
H2AX	RAD51
CDH1	HDAC1
HDAC1	MAD1L1
CDH1	HDAC2
HDAC2	MAD1L1
CBL	ZAP70
AR	CCNH
NFKB1	BCL3
TP53	TFAP2A
CDH1	CTNNB1
MET	CDH1
GADD45G	PCNA
AR	AR
CDH1	SRC
SRC	PIK3R1
SMAD6	CTBP1
AR	DAXX
AR	STAT3
SRC	ESR2
BCL3	NFKB2
BCL3	RELB
RAD51	BABAM2
BRCC3	RAD51
SP1	AR
RBM39	ESR2
TP53	EPHA3
CDH1	VCL
SRC	BCAR1
EZR	BID
FAS	BID
MSN	BID
BID	RHOA
ARHGDIA	BID
TNFRSF10B	BID
TNFRSF10B	FASLG
TNFRSF10B	CASP8
BID	FADD
FADD	CASP8
FASLG	BID
EZR	FASLG
FASLG	FADD
FAS	FASLG
MAPK8	FASLG
MSN	FASLG
FASLG	CASP10
FASLG	CASP8
FASLG	RHOA
FASLG	ARHGDIA
MAPK8	BID
BID	CASP10
BID	CASP8
EZR	CASP8
FAS	CASP8
MAPK8	CASP8
MSN	CASP8
CASP8	CASP10
RHOA	CASP8
ARHGDIA	CASP8
