# Graph Type: undirected
CASP4	SMC3
PSTPIP1	BZW1
DOK2	RAB10
PSTPIP1	RUVBL1
PNN	NFKBIL1
RAB25	PKIG
ARRB1	BOP1
KRT85	PLEKHB2
S100A9	TAGLN
MYH7	NTHL1
BAG2	MLF2
MEN1	RPRM
PSTPIP1	RPL31
ZNRD2	RUVBL2
GIPC1	NUP93
DEGS1	PYGM
LGALS9	SLC1A5
STK16	EBLN2
YWHAB	DENND4A
CTNNBIP1	PNMA2
LRRK1	C9orf163
TUSC2	EBLN2
ARRB2	BOP1
DOK2	ASF1B
DFFA	DFFB
MRPS34	NFKBIL1
RPA3	PARP3
PKIG	KPTN
NOL3	PNKP
MRPL44	NFKBIL1
CHMP6	RAB17
RAD51D	RADIL
YWHAQ	RAI14
GSN	CASP4
ELF3	EHF
FBLN1	MPG
PSTPIP1	BZW2
IQGAP2	UBAC1
ICA1	MKKS
GEMIN4	ILK
PSTPIP1	RPL35A
TIMM50	AKTIP
ASF1B	CDIN1
EBLN2	CAB39
FANCC	EBLN2
TUSC2	SGO2
ARRB2	ARRB1
BAG2	PSMC4
ATG12	ATG10
CASP4	DNAAF5
PES1	ARRB1
S100A9	ASB3
ATIC	RADIL
MTHFD2	PARP3
PTP4A3	POLD1
DGKE	NUDC
NFKBIL1	MRPS18B
FSCN1	GNAS
KCNIP4	KCNIP2
H2BC21	PARP3
PUF60	IGF2BP2
SPOP	DOK2
AP1S1	EBLN2
YWHAG	KRT85
NEDD8	FBXO4
PSMC3	HTR1E
RAB25	KPTN
SNRPB	GEMIN4
CASP4	SRPRB
DOK2	DNAJB11
SNAI1	ODAD4
S100A9	USF2
CASP4	NUP93
BCAR3	TARS1
NUP93	PNKP
MYH10	TNFRSF10D
TRIP6	AFAP1L1
VHL	FSCN1
NUAK1	KRT77
DGKE	SET
FAM107A	PPP2R2A
ARRB2	MRPL44
PAICS	DGKE
HNRNPL	DOCK4
PSTPIP1	RPL36
AP2S1	RAB25
RASGRP1	VHL
CCNH	RADIL
MYO1D	ILK
MOV10	PUF60
PSTPIP1	RPL35
YWHAQ	RASGRP3
CDK2	RADIL
HTR1E	PSMC4
PSTPIP1	RPL29
LYZ	LRRK1
TIMM50	PELO
ARRB2	MRPL43
CASP4	SLC25A22
KRT77	NFKBIL1
CEP135	WRAP73
FBL	ARRB2
NUP93	NEK6
TSC22D1	NUP93
SF3B3	TNFRSF10D
CASP4	SMC1A
NUAK1	S100A9
CIAO1	MCM5
YWHAZ	RAI14
PES1	ARRB2
SIRT2	KRT78
NUP93	PHB2
EBLN2	WRAP73
EIF6	RRP15
PSTPIP1	RPL34
FAM83G	YWHAQ
CEP162	LXN
ATG12	ATG16L1
CDK2	CASP4
FBL	PASK
PSTPIP1	RPL37A
YWHAB	OSBPL3
ARRB2	RPL7L1
PDHA1	DGKE
LXN	THRAP3
TIMM50	MAGED1
YWHAG	BAIAP2
YWHAQ	DENND4A
YWHAQ	PAK6
PSMB1	CASP4
BCAR3	PABPC1
CDK4	GEMIN4
S100A9	ILK
ITFG2	KPTN
RUNX3	PHB2
ATP2A3	WRAP73
CDK2	CDK15
EIF6	HAS1
PSMB1	PASK
MYO1D	PELO
ARRB2	RAB5C
TRIM28	TNFRSF10D
WDR5	PASK
CFLAR	DOK2
TIMM50	PHB2
MATR3	GSTK1
NTHL1	MRM3
YWHAB	CGN
CASP4	MSH6
BCAR3	IMPDH2
EIF2S3	CASP4
TSPAN7	KPTN
ZNRD2	PRMT1
BCAR3	IARS1
CASP4	CTNNBIP1
KRT82	LYAR
EPPK1	PHB2
VHL	HAS1
PPM1A	LXN
FIBP	GEMIN4
UBE2G2	MALT1
CASP4	GCN1
KPTN	AUP1
CORO1A	UBE2G2
RASGRF2	EPPK1
YWHAG	DENND4A
CIRBP	LXN
CASP4	USP9X
CLASP2	LXN
FES	PSMD13
YWHAG	CGN
PIK3R1	LCP2
ITK	LCP2
NCK1	LCP2
PRKD1	HDAC5
MAP3K8	NFKB2
MAP3K8	RELA
MAP3K8	REL
USP2	NFKB2
RELA	IQGAP2
TNF	TNFRSF1B
KCNQ1	TRAF6
POLQ	AP2S1
GEMIN4	BRF2
NUP93	BRF2
UFL1	CASP4
CASP4	VDAC3
KRT85	DLG3
S100A3	DLG3
FABP4	EXT2
SNRNP200	MYC
MYC	HEATR1
MYC	EEF1AKNMT
MYC	NUP205
MYC	MSH6
MYC	MCM7
MYC	POLE
MYC	NUP93
MYC	GCN1
MYC	DDX24
