# Graph Type: undirected
ZNF446	ZNF232
SFI1	MDFI
TCL1A	H2AW
RNF183	KXD1
MDFI	SPG7
PRC1	TRIM37
ZNF136	MDFI
RUNX1T1	BRME1
PAFAH1B3	CHMP7
NUDT18	RABAC1
HID1	RCN3
DPPA2	AP2M1
MDFI	METTL17
PGLS	MDFI
CEP70	ZNF408
DYRK2	RAD54B
CATSPER1	MDFI
EWSR1	BRME1
FHL3	ADAMTSL4
SNAPC5	BATF
DPEP1	KIFBP
STAT5A	MAGEA12
RPS15A	ELF5
NUDT18	RWDD1
ZNF446	SUFU
RBPMS	TEX37
SORBS3	ZBTB25
CSNK1E	RAD54B
FHL3	LASP1
ELAVL4	EWSR1
SEPTIN1	TOLLIP
EWSR1	LILRA3
MDFI	PIDD1
STAC3	STAC3
ZNF646	MDFI
ZCCHC10	STAC3
CKS2	TSC22D4
CALCOCO2	PCGF1
ATG12	MDFI
HGS	LURAP1
GBP5	GBP5
RCN3	KLHL42
TCL1A	CALCOCO2
DCTD	NUDT18
CDKN2D	TBC1D17
MCM5	MDFI
NECTIN2	MDFI
EWSR1	CCDC7
UBE2I	RAD54B
KANSL1	NECAB2
RTN3	RAB33A
BRME1	COPS4
CALCOCO2	ELOA2
TP53RK	TPRKB
SSBP2	IL36RN
RUNDC3A	AP1M1
SERPINI2	UBQLN1
MCM10	DPPA2
LRCH4	MDFI
BRME1	BRME1
TCEANC	RAD54B
NECAB2	NEK6
KDM8	PCYT2
ZC3H12A	AHSP
FUZ	CPLANE2
DPPA2	ZCCHC10
CALCOCO2	FNDC11
MAGOHB	AMOTL2
CEP55	TSG101
SIGLEC5	TRIP13
LMO3	MDFI
RUNX1T1	NECAB2
SULT2B1	FLACC1
FHL3	TRIP6
CCDC112	LURAP1
DVL3	ZNF408
TRIM37	MCM10
ZBTB16	ENOX1
TAP1	MDFI
DPPA4	DPPA2
INTS11	MDFI
BUB1	ARIH2
MDFI	ZNF581
EWSR1	NTNG2
U2AF2	DPPA2
ELOA2	SOHLH2
RAP2B	RUNDC3A
NUDT18	HSD17B14
CNNM3	MDFI
CAVIN2	PLEKHF2
LASP1	MDFI
MCM10	NINL
TRAPPC6A	RAD54B
TCEANC	NINL
FHL3	RBM42
ZNRD2	CCT5
ZNF764	MDFI
RNF40	NCBP1
TRIM37	NUDT18
CALCOCO2	ZNF408
DPPA2	DVL3
SGTA	SYT4
PAICS	NUDT18
SP100	SUMO1
CHTF8	EIF4EBP1
ZBTB48	DVL3
FBP1	RNF183
TMSB4Y	EWSR1
DUT	NUDT18
PRKAR1A	PYCARD
NDC80	AMOTL2
YIPF4	YIPF3
CBFA2T2	MDFI
EWSR1	TRPV5
ZNF101	MDFI
RAD54B	RAD54B
CCDC85B	CARD9
MAP3K7CL	GPS2
MDFI	DNPEP
FNDC11	PDLIM7
EWSR1	MDFI
EIF3E	RUNDC3A
AP2B1	TENT5C
CAPN3	NECAB2
HNRNPM	LMO3
