# Graph Type: undirected
TP53BP1	DCLRE1A
DOK2	DOK1
DOK2	RASA1
DOK2	SHC1
DOK2	INPP5D
FANCA	LIPG
GADD45G	ESR1
FANCA	FANCA
FANCA	ERCC4
FANCA	FANCE
BMPR1A	FKBP1B
FANCA	GNB2
FANCA	HSP90B1
KMT2C	ASCL2
FANCA	HPRT1
FANCA	DNAJB1
FANCA	HSP90AA1
CHUK	FANCA
FANCA	KRT1
KRT1	FANCC
SMAD7	LEF1
FANCA	CD79A
MLH1	MRE11
MLH1	MSH2
FANCA	MKNK1
MSH2	MRE11
NBN	MSH2
MSH2	RAD50
MRE11	MSH6
MSH2	MSH6
FANCA	MX1
FANCA	NUB1
FANCA	NAMPT
FANCA	FANCL
BCR	PIK3CG
GADD45G	PPARD
GADD45G	PPARG
FANCA	PRPF31
FANCA	PSMA5
GADD45G	RARA
RARA	GADD45A
RFC1	MRE11
RFC1	MSH2
IFIT3	FANCA
FANCA	RPA1
FANCA	RPL18
GADD45G	RXRA
SGK1	FANCA
FANCA	TAF10
FANCA	CCT3
FANCA	TOP3A
FANCA	TPT1
ZNF350	RNF11
FANCA	ZNF24
MAP3K8	TNIP2
ELAVL4	NXF1
ABLIM3	ACTC1
HDAC3	RUNX2
RET	DOK5
ITGB1	ITGA3
TGFB1	VASN
TGFB2	VASN
PRKCB	RASGRP3
PRKCD	RASGRP3
PRKCE	RASGRP3
PRKACA	RASGRP3
RAC1	CDC42BPG
CDC42	CDC42BPG
RHOQ	CDC42BPG
PLXNA1	PLXNA1
AP2M1	EHD2
EHD2	AP1M2
MED6	MED10
MED6	MED9
MED6	MED29
MED19	MED6
MED6	MED28
MED6	MED26
CACNB3	CACNA1C
ACTN4	USP6NL
SMC4	DNMT3B
SIN3A	DNMT3B
HDAC1	DNMT3B
SMARCA5	DNMT3B
RAC1	ARHGAP27
CDC42	ARHGAP27
ARHGAP27	SH3KBP1
SORBS2	CBL
CBL	CD2AP
FLOT1	SORBS2
TLR2	MYD88
TLR4	MYD88
NOS1	ZDHHC23
MRE11	TERF2IP
POP4	POP1
RPP38	POP1
RPP40	POP1
POP1	POP1
POP1	RPP25
SLC5A1	PAWR
CRADD	PIDD1
CASP2	PIDD1
SLC9A3R1	OPRK1
RIPK1	TICAM1
TICAM1	RIPK3
PPARG	DNTTIP2
DNTTIP2	ESR2
RAC2	DEF6
RAC1	DEF6
RHOA	DEF6
CDC42	DEF6
SRF	MYOCD
SERPINE1	LRP1
SCNN1B	STX1A
MED6	MED25
MED6	MED15
MED6	CDK8
KDR	PLXNA1
GEMIN4	AGO2
MYOCD	MRTFA
NFKB1	UNC5CL
RELA	UNC5CL
FYN	TRPC6
SCN1B	CNTN1
DNMT3B	DNMT3A
CA2	SLC4A8
RPSA	CBX5
SLC31A2	RAMP2
RAMP1	CALCRL
PIAS1	STAB2
PIP5K1B	PIP5KL1
PIP5K1C	PIP5KL1
PIP5KL1	PIP5K1A
FOXP2	CTBP1
FOXP2	FOXP1
FOXP2	FOXP2
FOXP2	FOXP4
CLOCK	ARNTL2
PRKCZ	FEZ2
TUBA1A	STARD13
KIF1B	STARD13
HMGCR	STARD13
EPB41L1	STARD13
SMARCD3	STARD13
TAX1BP1	STARD13
HSP90AA1	STARD13
ITPR1	STARD13
EHBP1	EHD2
CAV1	AQP3
PLD2	AQP3
RNF128	OTUB1
USP8	RNF128
MSH2	ATR
SMAD6	RNF111
TREM1	TREM1
SREBF1	TWIST2
SP100	HIPK2
NUP155	GLE1
KAT2B	NPAS2
AKAP8	CCND1
HAND1	PPP2R5D
HAND1	PRKCA
HAND1	PRKACA
PPL	EZR
PARP1	ZNF423
RAD17	RFC2
LRRC4C	NTNG1
NGFR	NDN
NGFR	NSMCE3
RAB27A	RPH3AL
CNTNAP1	KCNA1
KCNA1	RTN4
RARA	NRIP1
RARA	KAT2B
ERBB3	CD82
CDH1	CA9
NOTCH1	CNTN1
NOTCH2	CNTN1
ABI1	EPS8L1
ABI1	EPS8L2
ABI1	EPS8L3
SOS1	EPS8L1
SOS1	EPS8L2
ACTG1	EPS8L1
ACTG1	EPS8L2
BAG4	APOBEC1
CCNE1	GSK3B
EGR2	HCFC1
PRKCA	FSCN1
HOMER1	AGAP2
LRP2	LDLRAP1
