# Graph Type: undirected
LNX1	KXD1
TBL3	APPBP2
RAP2B	RUNDC3A
PSMD4	RASSF8
NUP62	THAP1
NUDT18	HSD17B14
CAVIN2	PLEKHF2
SYT17	TSC22D4
NMI	EMILIN1
FHL3	RBM42
TEAD3	WWTR1
RNF40	NCBP1
TRIM37	NUDT18
SGTA	SYT4
LNX1	DVL3
PAICS	NUDT18
SP100	SUMO1
CCNK	CDK18
CHTF8	EIF4EBP1
CEP70	ENKD1
ZBTB48	DVL3
USP2	BEGAIN
LNX1	EHMT2
TMSB4Y	EWSR1
DUT	NUDT18
PRKAR1A	PYCARD
CCDC85B	FAM13C
ZCCHC10	THAP1
YIPF4	YIPF3
APPBP2	PCSK5
MAP3K7CL	GPS2
PAICS	LNX1
EIF3E	RUNDC3A
PHF1	THAP1
AP2B1	TENT5C
FAM107A	CCDC85B
HIF1AN	INVS
HNRNPM	LMO3
ZSCAN9	ZNF446
TSC22D3	HPCAL4
EWSR1	RALYL
TFPT	RUNDC3A
GLUL	NUDT18
CDCA3	CTDSP1
CCDC85B	PIDD1
SAT1	FAM86C1P
HNRNPC	LMO3
U2AF2	THAP1
BRME1	AIMP2
RBPMS	ENKD1
PDE9A	PDE9A
STAT5A	PRTFDC1
HOOK2	UTP14A
RALYL	RBM41
FBP1	LNX1
FAM107A	NINL
APPBP2	SYT11
NUDT18	CUTC
BEGAIN	ENKD1
NOL3	ETNK2
FOSL1	CALCOCO1
TRIP13	PLK3
CEP63	KXD1
STRBP	THAP1
HPRT1	PRTFDC1
LMO3	MBIP
FAM107A	CALCOCO2
PLSCR1	C10orf62
DVL2	THAP1
PRKCZ	PARD6A
NME1	NME3
GYG2	GYS1
KHDRBS3	SIAH1
E2F6	TFDP2
EIF4E	EIF4EBP1
GEMIN6	GEMIN7
FOSL1	JUNB
BHMT	BHMT
FANCG	FANCA
S100A1	S100A4
MAGOHB	RBM8A
EIF3G	EIF3C
ZBTB48	ZBTB8A
LMO3	ZBTB8A
LNX1	ZBTB8A
ZNF276	ZBTB8A
PLAU	SERPINE1
PLAU	SERPINE2
MCL1	BMF
MYC	DNMT3A
BCL2	ITPR1
CAV3	JPH2
MIS12	DSN1
ERBB3	GRB2
PIK3R2	ERBB3
ERBB3	CSK
ERBB3	SHC1
ACAN	LUM
NSL1	DSN1
CBX3	DSN1
PMF1	DSN1
CBX5	DSN1
ZWINT	DSN1
RET	STAT3
STAT3	EPHA5
MTOR	RPTOR
FKBP1A	RPTOR
SYT1	SV2B
MMP14	LUM
GIPC1	MYO6
CUL1	FBXO4
LIG4	PNKP
TUSC2	HSPA4L
GSK3B	GEMIN4
LGALS9	CTNNB1
GEMIN4	RNPS1
VARS1	EEF1A2
ALDH16A1	PAAF1
CD2BP2	DDX23
YWHAB	RAI14
KHK	AP2S1
EEF1D	EEF1A2
ARPC2	ACTR3B
WDCP	RUVBL1
SMYD2	EPB41L3
DOK2	PSMD10
ARPC1A	ACTR3B
YWHAG	EPB41L3
ARRB2	NOLC1
ARRB1	KHK
EIF4EBP1	UBAC1
WDCP	RUVBL2
TNFAIP8	PTP4A2
CCNH	MNAT1
RNPS1	NRDE2
ARRB2	TCOF1
YWHAB	EPB41L3
ACTR2	ACTR3B
CCN4	UGGT1
SKP1	FBXO4
ARRB2	DDX27
AKTIP	HOOK1
CDC25B	KRT85
CUL1	RPRM
AP3B1	ARRB2
RAB11A	RAB11FIP1
KRT85	TWF2
FNTB	PTP4A2
RPRM	FBXW11
ARPC4	ACTR3B
SNRPB	KHK
ARPC1B	ACTR3B
YWHAZ	EPB41L3
KRT85	LYAR
SNCG	HNF4A
KPNA3	ARRB2
YWHAG	RAI14
PFAS	TRAF6
HSPA4L	KRT8
FABP4	OSTF1
GIPC1	GEMIN4
CDK4	RPRM
TNFAIP8	PTP4A1
KPNA4	ARRB2
YWHAQ	EPB41L3
DOK2	HSPA4L
LGALS9	JUP
CASP4	SMC3
HSPA4L	TCEAL1
DOK2	RAB10
ARRB1	BOP1
KRT85	PLEKHB2
HNF1A	PCBD1
BRIX1	LYAR
S100A9	TAGLN
MYH7	NTHL1
PFAS	VHL
BAG2	MLF2
MEN1	RPRM
LGALS9	SLC1A5
YWHAB	DENND4A
CTNNBIP1	PNMA2
TUSC2	EBLN2
ARRB2	BOP1
HNF1A	PCBD2
DOK2	ASF1B
SNCG	FABP4
CDK4	ACTR3B
DEDD	KHK
KHK	LYZ
RPA3	PARP3
PKIG	KPTN
NOL3	PNKP
RAD51D	RADIL
YWHAQ	RAI14
GSN	CASP4
FBLN1	MPG
ARPC5L	ACTR3B
IQGAP2	UBAC1
GEMIN4	ILK
TIMM50	AKTIP
ASF1B	CDIN1
EBLN2	CAB39
RPL23A	PACSIN3
FANCC	EBLN2
SNCG	TIMP2
TUSC2	SGO2
ARRB2	ARRB1
BAG2	PSMC4
ATG12	ATG10
CASP4	DNAAF5
COPG2	MAGED1
PES1	ARRB1
S100A9	ASB3
ATIC	RADIL
MTHFD2	PARP3
DGKE	NUDC
FSCN1	GNAS
PFAS	TFE3
KCNIP4	KCNIP2
H2BC21	PARP3
PUF60	IGF2BP2
SPOP	DOK2
AP1S1	EBLN2
ARPC3	ACTR3B
PFAS	MCC
YWHAG	KRT85
NEDD8	FBXO4
HNF4A	RAD50
SNCG	DYNLL1
SNRPB	GEMIN4
CASP4	SRPRB
DOK2	DNAJB11
S100A9	USF2
ARPC5	ACTR3B
NOL3	PACSIN3
BCAR3	TARS1
TRIP6	AFAP1L1
VHL	FSCN1
NUAK1	KRT77
DGKE	SET
S100A9	PAK5
FAM107A	PPP2R2A
ARRB2	MRPL44
PAICS	DGKE
HNRNPL	DOCK4
TWF2	ACTR3B
CCNH	RADIL
MYO1D	ILK
KHK	RNPS1
MOV10	PUF60
CD2BP2	KHK
CNBP	BRIX1
YWHAQ	RASGRP3
CDK2	RADIL
KHK	CDK5RAP3
RPA3	PAK5
MOB3B	CNKSR2
TIMM50	PELO
ARRB2	MRPL43
CASP4	SLC25A22
FBL	ARRB2
HSPA4L	USF2
CASP4	SMC1A
NUAK1	S100A9
YWHAZ	RAI14
YWHAZ	RALGPS2
AP2S1	PAK5
PES1	ARRB2
SIRT2	KRT78
EBLN2	WRAP73
EIF6	RRP15
ELL	SIRT2
HNF4A	PABPC4
CEP162	LXN
ATG12	ATG16L1
H3C7	ASF1B
CDK2	CASP4
ARRB2	RPL7L1
PDHA1	DGKE
LXN	THRAP3
TIMM50	MAGED1
NUP98	PARP11
CCDC59	PAK5
YWHAQ	DENND4A
YWHAQ	PAK6
PSMB1	CASP4
BCAR3	PABPC1
CDK4	GEMIN4
S100A9	ILK
ITFG2	KPTN
RUNX3	PHB2
MYO1D	PELO
ARRB2	RAB5C
CFLAR	DOK2
TIMM50	PHB2
MATR3	GSTK1
NTHL1	MRM3
CASP4	MSH6
PSPH	PRPSAP1
BCAR3	IMPDH2
EIF2S3	CASP4
TSPAN7	KPTN
BCAR3	IARS1
CASP4	CTNNBIP1
KRT82	LYAR
PSPH	STYXL1
PPM1A	LXN
SNRPA1	HNF1A
PSPH	ASF1B
FIBP	GEMIN4
CASP4	GCN1
KPTN	AUP1
KHK	RANBP3
SNCG	MCM3
YWHAG	DENND4A
CIRBP	LXN
PFAS	EPB41
SNCG	FUBP1
TTC4	OBI1
CASP4	USP9X
CLASP2	LXN
BRIX1	CDC42BPB
PIK3R1	LCP2
NCK1	LCP2
PRKD1	HDAC5
MAP3K8	NFKB2
MAP3K8	RELA
MAP3K8	REL
USP2	NFKB2
RELA	IQGAP2
TBKBP1	TBK1
TNF	TNFRSF1B
KCNQ1	TRAF6
POLQ	AP2S1
GEMIN4	BRF2
UFL1	CASP4
CASP4	VDAC3
KRT85	DLG3
S100A3	DLG3
SNCG	EXT2
CLEC2L	EXT2
FABP4	EXT2
FIBP	CLEC2L
HNF4A	EXT2
SNRNP200	MYC
MYC	HEATR1
MYC	EEF1AKNMT
MYC	NUP205
MYC	MSH6
MYC	MCM7
MYC	POLE
MYC	GCN1
MYC	DDX24
MYC	ARHGEF2
MYC	GEMIN4
MYC	PRPF8
MYC	MYBBP1A
MYC	EXOC4
MYC	GTF3C3
MYC	MAX
MYC	MKLN1
MYC	EFTUD2
MYC	SMARCA4
MYO1B	MYC
MYC	HNRNPC
MYC	PDS5A
LXN	PANK2
AR	HNF4A
AR	AKT1
AR	IL6ST
APC2	ACTA1
AR	RAD9A
AR	SMAD3
AR	NCOA6
NCOA6	ESR2
RARA	NCOA6
BCAR1	TRIP6
SRC	TRIP6
BCL2	SERPINB8
AR	CTNNB1
MYC	NMI
FANCA	FANCF
FANCC	FANCF
FANCG	FANCF
AR	CCNH
AR	CDK7
NFKB1	BCL3
TP53	TFAP2A
GADD45G	PCNA
AR	AR
SRC	PIK3R1
SMAD6	CTBP1
AR	DAXX
AR	STAT3
SRC	ESR2
BCL3	NFKB2
BCL3	RELB
SP1	AR
RBM39	ESR2
SRC	BCAR1
TNFRSF10B	FASLG
TNFRSF10B	CASP8
FADD	CASP8
EZR	FASLG
FASLG	FADD
FAS	FASLG
MAPK8	FASLG
MSN	FASLG
FASLG	CASP10
FASLG	CASP8
FASLG	RHOA
FASLG	ARHGDIA
EZR	CASP8
FAS	CASP8
MAPK8	CASP8
MSN	CASP8
CASP8	CASP10
RHOA	CASP8
ARHGDIA	CASP8
TNFRSF1A	FASLG
TNFRSF1A	CASP8
TFAP2A	APC
AR	GSK3B
GSN	AR
SMAD7	BMPR1A
BCAR1	PTK2
PXN	BCAR1
BCAR1	TNS1
AR	SELENBP1
HSP90AA1	AR
AR	UXT
AR	CAV1
JUN	AR
AR	PRKDC
AR	XRCC5
AR	XRCC6
AR	BAG1
APC	MAPRE2
AR	CREBBP
E2F1	NCOA6
AR	NCOA1
NCOR1	AR
AR	NCOR2
AR	NCOA2
AR	CCND1
HDAC3	CCND1
AR	FOXO1
MDC1	HDAC8
AR	RNF14
MYC	MAPK3
MYC	MAPK1
CCNT1	NUFIP1
CDK9	NUFIP1
CRKL	BCAR1
CRK	BCAR1
MARK3	RASGRF1
MYC	BCL2
ABL1	BCAR1
ESR1	SRC
AR	SRC
SORBS2	SFN
SFN	ARHGEF5
SFN	BCAR1
SFN	IRS1
SFN	AJUBA
SFN	LSR
SFN	LMO7
SFN	NEDD4L
SFN	RALGPS2
SFN	SHROOM3
SIPA1L1	SFN
WEE1	SFN
FANCA	FANCC
AR	PTEN
BCL3	N4BP2
AXIN1	APC
RB1	AR
BMP2	BMPR1A
AR	ZMIZ1
ATM	EIF4EBP1
LIG4	ATR
LIG4	PRKDC
LIG4	ATM
PIK3CA	ATR
CTNNB1	LEF1
CDH15	GNA12
CDH2	GNA12
CDH2	GNA13
BMPR1B	BMPR2
BMP7	BMPR2
TGFB1I1	AR
AR	MAPK1
YWHAB	RASGRF1
ETV6	ACTA1
CDH2	ACTA1
FANCA	AKT1
FANCA	ALDOA
FANCA	SPTAN1
FANCA	ENO1
AZIN1	FANCA
EGFR	AR
AR	GSK3A
KAT7	AR
AR	NR2C1
FANCA	ATP5F1B
TFAP2A	CTNNB1
FANCA	RMI1
FANCA	BLM
TCERG1	FANCA
HRAS	RASGRF1
GADD45G	CDKN1A
GADD45G	GADD45A
GADD45A	GADD45GIP1
GADD45B	GADD45GIP1
NR4A1	GADD45GIP1
SIAH2	RBBP8
SPTBN1	EPB41L3
FANCA	DAXX
TP53BP1	DCLRE1A
DOK2	DOK1
DOK2	RASA1
DOK2	SHC1
DOK2	INPP5D
E2F1	TOPBP1
GADD45G	ESR1
FANCA	FANCA
FANCA	ERCC4
BMPR1A	FKBP1B
FANCA	GNB2
FANCA	HSP90B1
FANCA	HPRT1
FANCA	DNAJB1
FANCA	HSP90AA1
CHUK	FANCA
FANCA	KRT1
KRT1	FANCC
SMAD7	LEF1
FANCA	CD79A
SRC	PELP1
FANCA	MKNK1
FANCA	MX1
FANCA	NUB1
FANCA	NAMPT
AR	PELP1
FANCA	FANCL
GADD45G	PPARA
GADD45G	PPARD
FANCA	PRPF31
FANCA	PSMA5
GADD45G	RARA
RARA	GADD45A
IFIT3	FANCA
FANCA	RPA1
FANCA	RPL18
GADD45G	RXRA
SGK1	FANCA
SRC	NCOA6
FANCA	TAF10
TBP	GTF2H4
CTNNB1	HNF4A
FANCA	CCT3
GTF2B	GTF2H4
POLR2A	GTF2H4
MED21	GTF2H4
BTAF1	GTF2H4
GTF2E1	GTF2H4
GTF2F1	GTF2H4
FANCA	TOP3A
FANCA	TPT1
ACTA1	TRIP6
FANCA	ZNF24
ATG16L1	IKBKG
MAP3K8	TNIP2
ELAVL4	NXF1
ABLIM3	ACTC1
USP8	RNF41
RNF41	BIRC6
MAP2K1	PEBP4
RAF1	PEBP4
HDAC3	RUNX2
RET	DOK5
CENPA	H3C7
CASP9	NAIP
NAIP	DIABLO
ITGB1	ITGA3
TGFB1	VASN
TGFB2	VASN
ERCC3	GTF2H4
ERCC3	MNAT1
PIK3CA	RASGRP3
PRKCB	RASGRP3
PRKCD	RASGRP3
PRKCE	RASGRP3
PRKACA	RASGRP3
PLXNA1	PLXNA1
AP2M1	EHD2
MED6	MED10
MED6	MED9
MED6	MED29
MED19	MED6
MED6	MED28
MED6	MED26
ACTN4	USP6NL
RAC1	ARHGAP27
CDC42	ARHGAP27
ARHGAP27	SH3KBP1
TNNI3	TNNC1
CLTCL1	SNX5
SORBS2	CBL
SORBS2	PTK2B
CBL	CD2AP
FLOT1	SORBS2
ITGA7	FHL2
FHL3	ITGA7
TLR2	MYD88
TLR4	MYD88
MYD88	TLR9
PPP1CA	ACTA1
POP4	POP1
RPP38	POP1
RPP40	POP1
POP1	POP1
POP1	RPP25
SLC5A1	PAWR
CRADD	PIDD1
CASP2	PIDD1
RHOA	ARHGEF25
TBR1	TSPYL2
RIPK1	TICAM1
ACTA1	MLPH
DNTTIP2	ESR2
TNFRSF10B	TIMM50
AR	SART3
SRF	MYOCD
ULK1	SYNGAP1
ULK2	SYNGAP1
SERPINE1	LRP1
SCNN1A	STX1A
SCNN1B	STX1A
MED6	MED25
MED6	MED15
MED6	CDK8
LRP1	PDIA2
KDR	PLXNA1
GEMIN4	AGO2
MYOCD	MRTFA
APBA1	DLG1
CASK	LIN7B
APBA1	LIN7B
APBA1	LIN7C
NFKB1	UNC5CL
RELA	UNC5CL
SCN1B	CNTN1
CD4	UNC119
FYN	UNC119
CA2	SLC4A8
PAFAH1B3	HSPH1
RPSA	CBX5
HRAS	PIK3CA
SLC31A2	RAMP2
RAMP1	CALCRL
