# Graph Type: undirected
MYC	GEMIN4
MYC	PRPF8
MYC	MYBBP1A
MYC	EXOC4
MYC	GTF3C3
MYC	MAX
MYC	MKLN1
MYC	EFTUD2
MYC	SMARCA4
MYO1B	MYC
MYC	HNRNPC
MYC	PDS5A
MYC	CCAR2
LXN	PANK2
PSTPIP1	DDX21
NCOA6	ASCL2
RBBP5	ASCL2
FANCC	FANCE
AR	AKT1
AR	IL6ST
APC2	ACTA1
AR	RAD9A
AR	SMAD3
AR	NCOA6
NCOA6	ESR2
RARA	NCOA6
BCAR1	TRIP6
SRC	TRIP6
MUC1	APC
FES	BCR
AR	CTNNB1
MYC	NMI
MSH2	BLM
CDH1	HDAC1
CDH1	HDAC2
FANCC	FANCF
FANCE	FANCF
FANCG	FANCF
AR	CCNH
AR	CDK7
CHEK2	MSH2
NFKB1	BCL3
TP53	TFAP2A
CDH1	CTNNB1
MET	CDH1
GADD45G	PCNA
AR	AR
CDH1	SRC
SRC	PIK3R1
AR	DAXX
MUC1	CTNNB1
AR	STAT3
SRC	ESR2
BCL3	NFKB2
BCL3	RELB
SP1	AR
RBM39	ESR2
CDH1	VCL
SRC	BCAR1
EZR	BID
FAS	BID
MSN	BID
BID	RHOA
ARHGDIA	BID
TNFRSF10B	BID
TNFRSF10B	FASLG
TNFRSF10B	CASP8
BID	FADD
FADD	CASP8
FASLG	BID
EZR	FASLG
FASLG	FADD
FAS	FASLG
MAPK8	FASLG
MSN	FASLG
FASLG	CASP10
FASLG	CASP8
FASLG	RHOA
FASLG	ARHGDIA
MAPK8	BID
BID	CASP10
BID	CASP8
EZR	CASP8
FAS	CASP8
MAPK8	CASP8
MSN	CASP8
CASP8	CASP10
RHOA	CASP8
ARHGDIA	CASP8
TNFRSF1A	BID
TNFRSF1A	FASLG
TNFRSF1A	CASP8
CDH1	ITGAE
TFAP2A	APC
AR	GSK3B
MUC1	GSK3B
GSN	AR
SMAD7	BMPR1A
LYN	MUC1
BCAR1	PTK2
PXN	BCAR1
BCAR1	TNS1
CDH1	CTNNA1
CDH1	JUP
AR	SELENBP1
HSP90AA1	AR
AR	UXT
AR	CAV1
JUN	AR
CDH1	CSE1L
AR	PRKDC
AR	XRCC5
AR	XRCC6
AR	BAG1
APC	MAPRE2
AR	CREBBP
E2F1	NCOA6
AR	NCOA1
NCOR1	AR
AR	NCOR2
AR	NCOA2
AR	CCND1
HDAC3	CCND1
AR	FOXO1
MDC1	HDAC8
AR	FOXA1
AR	RNF14
ERBB2	MUC1
MYC	MAPK3
MYC	MAPK1
CCNT1	NUFIP1
CDK9	NUFIP1
CRKL	BCAR1
CRK	BCAR1
LCK	PIK3R1
MARK3	RASGRF1
MYC	BCL2
ABL1	BCAR1
CDH1	GNA13
ESR1	SRC
AR	SRC
SORBS2	SFN
SFN	ARHGEF5
SFN	BCAR1
SFN	CGN
SFN	DTX2
SFN	IRS1
SFN	AJUBA
SFN	LSR
SFN	LMO7
SFN	MARK2
SFN	NEDD4L
SFN	PKP2
PPP1R3D	SFN
SFN	RHPN2
SFN	SHROOM3
SIPA1L1	SFN
SFN	TNS4
WEE1	SFN
JUP	MUC1
AR	PTEN
BCL3	N4BP2
AXIN1	APC
RB1	AR
CDH1	CDH1
AR	ZMIZ1
ATM	EIF4EBP1
PIK3CA	ATR
POLD1	ATR
S100B	TP53
CTNNB1	LEF1
CDH15	GNA12
CDH1	GNA12
BMP7	BMPR2
TGFB1I1	AR
AR	MAPK1
YWHAB	RASGRF1
ETV6	ACTA1
TP53	TFAP2C
EGFR	AR
AR	GSK3A
KAT7	AR
AR	NR2C1
MSH2	ATM
TFAP2A	CTNNB1
HRAS	RASGRF1
GADD45G	CDKN1A
GADD45G	GADD45A
GADD45A	GADD45GIP1
GADD45B	GADD45GIP1
NR4A1	GADD45GIP1
POLR2A	CTDP1
SIAH2	RBBP8
FANCG	CYP2E1
TP53BP1	DCLRE1A
DOK2	DOK1
DOK2	RASA1
DOK2	SHC1
DOK2	INPP5D
E2F1	TOPBP1
GADD45G	ESR1
BMPR1A	FKBP1B
AR	GRIP1
KMT2C	ASCL2
SMAD7	LEF1
MLH1	MSH2
SRC	PELP1
NBN	MSH2
MSH2	RAD50
MSH2	MSH6
AR	PELP1
GADD45G	PPARA
GADD45G	PPARD
RAD51B	RAD51C
GADD45G	RARA
RARA	GADD45A
RFC1	MSH2
GADD45G	RXRA
SRC	NCOA6
ACTA1	TRIP6
SPTA1	ERCC4
ZNF350	RNF11
ATG16L1	IKBKG
ELAVL4	NXF1
MAP2K1	PEBP4
RAF1	PEBP4
HDAC3	RUNX2
RET	DOK5
CENPA	H3C7
CDC27	SPATC1
TUBG1	SPATC1
CASP9	NAIP
NAIP	DIABLO
ITGB1	ITGA3
DNM1	FNBP1
EGF	FNBP1
TF	FNBP1
SELL	EMCN
TGFB2	VASN
ERCC3	MNAT1
PIK3CA	RASGRP3
PRKCB	RASGRP3
PRKCD	RASGRP3
PRKCE	RASGRP3
PRKACA	RASGRP3
BTK	ARID3A
RAC1	CDC42BPG
CDC42	CDC42BPG
RHOQ	CDC42BPG
MYB	PML
PLXNA1	PLXNA1
ACTN4	USP6NL
SMC4	DNMT3B
SIN3A	DNMT3B
HDAC1	DNMT3B
SMARCA5	DNMT3B
NCAPG	DNMT3B
RAC1	ARHGAP27
CDC42	ARHGAP27
ARHGAP27	SH3KBP1
PRKCE	GAD2
PRKACA	GAD2
SORBS2	CBL
SORBS2	PTK2B
CBL	CD2AP
FLOT1	SORBS2
PTPN11	TREML1
ITGA7	FHL2
TLR2	MYD88
TLR4	MYD88
MYD88	TLR9
PPP1CA	ACTA1
CASP1	XK
NOS1	ZDHHC23
POP4	POP1
RPP38	POP1
RPP40	POP1
POP1	POP1
POP1	RPP25
SLC5A1	PAWR
TBR1	TSPYL2
RIPK1	TICAM1
TICAM1	RIPK3
ACTA1	MLPH
