# Graph Type: undirected
STK16	ICA1
CDC25B	KRT85
CUL1	RPRM
AP3B1	ARRB2
CCNA1	CCAR2
KRT85	TWF2
RPRM	FBXW11
GLRX3	RGS20
YWHAG	MARK2
ARPC4	ACTR3B
ARPC1B	ACTR3B
MAGEB2	RPL23A
YWHAZ	EPB41L3
KRT85	LYAR
KPNA3	ARRB2
PFAS	TRAF6
STK16	PASK
HSPA4L	KRT8
CD2BP2	USP39
GIPC1	GEMIN4
DHX57	LYAR
CDK4	RPRM
GH1	LTA4H
MAGEB2	RPS19
KPNA4	ARRB2
YWHAQ	EPB41L3
TGFB1I1	CCNA1
MAGEB2	RPL31
CCAR2	NEK6
HSPA4L	TCEAL1
RGS20	PMVK
ARRB1	BOP1
KRT85	PLEKHB2
HNF1A	PCBD1
PFAS	VHL
BCAS1	DYNLL1
BAG2	MLF2
SPTLC1	RGS20
MEN1	RPRM
MAGEB2	RPS14
DEGS1	PYGM
MAGEB2	RPS16
CTNNBIP1	PNMA2
YWHAQ	UNC79
ARRB2	BOP1
HNF1A	PCBD2
TPM3	MCC
CDK4	ACTR3B
RPA3	PARP3
PKIG	KPTN
NOL3	PNKP
RAD51D	RADIL
CHMP5	CAMK2A
FBLN1	MPG
ARPC5L	ACTR3B
ICA1	MKKS
GEMIN4	ILK
CIAO1	CCAR2
TIMM50	AKTIP
ASF1B	CDIN1
YWHAQ	MARK2
SNCG	TIMP2
TUSC2	SGO2
ARRB2	ARRB1
BAG2	PSMC4
ATG12	ATG10
COPG2	MAGED1
PES1	ARRB1
TIMM8A	TIMM13
ATIC	RADIL
MTHFD2	PARP3
DGKE	NUDC
RGS20	BOLA1
FSCN1	GNAS
PFAS	TFE3
KCNIP4	KCNIP2
H2BC21	PARP3
ARPC3	ACTR3B
MAGEB2	RPL36
PFAS	MCC
YWHAG	KRT85
PSMC3	HTR1E
SNCG	DYNLL1
SNRPB	GEMIN4
E2F7	RUVBL1
ARPC5	ACTR3B
RGS20	MLF2
BCAR3	TARS1
UNC79	SAE1
VHL	FSCN1
NUAK1	KRT77
DGKE	SET
FAM107A	PPP2R2A
CCAR2	WRAP73
ARRB2	MRPL44
PAICS	DGKE
HNRNPL	DOCK4
MAGEB2	RPL34
CCNA1	VPS18
TWF2	ACTR3B
RASGRP1	VHL
CCNH	RADIL
MOV10	PUF60
PTP4A3	MSH2
RGS20	SLC39A7
YWHAQ	RASGRP3
CDK2	RADIL
HTR1E	PSMC4
RPA3	PAK5
MOB3B	CNKSR2
TIMM50	PELO
ARRB2	MRPL43
FBL	ARRB2
CCAR2	GSTK1
HSPA4L	USF2
DHX57	DDX56
MAGEB2	RPS9
MAGEB2	CSNK2B
CCAR2	MAGED1
AP2S1	PAK5
PES1	ARRB2
CCAR2	ACTR3B
FBL	PASK
YWHAB	OSBPL3
ARRB2	RPL7L1
BCAS1	RUVBL2
PDHA1	DGKE
TIMM50	MAGED1
YWHAG	BAIAP2
CCDC59	PAK5
YWHAQ	PAK6
MCC	CCNA1
