# Graph Type: undirected
BEGAIN	ENKD1
FXR2	NECAB2
NOL3	ETNK2
TRIP13	PLK3
VPS72	MDFI
CEP63	KXD1
HPRT1	PRTFDC1
ENOX2	ENOX1
LMO3	MBIP
TEX11	SNX7
TTR	ATF4
FAM107A	CALCOCO2
TRIM29	JAKMIP2
FAM107A	KRT19
PLSCR1	C10orf62
KRT20	C9orf16
WDR62	MAPK9
CBY2	CEP44
PLOD3	DPPA2
SNAPC5	NOL4
CBY2	CBY2
PRKCZ	PARD6A
TADA2A	TADA3
GYG2	GYS1
S100A2	S100A2
KHDRBS3	SIAH1
AP2B1	AP1M2
E2F6	TFDP2
EIF4E	EIF4EBP1
EPS8	BAIAP2
GNMT	GNMT
BHMT	BHMT
FANCG	FANCA
S100A1	S100A4
LMO3	ZBTB8A
LNX1	ZBTB8A
ZNF276	ZBTB8A
ZBTB8A	ZNF408
PLAU	SERPINE1
PLAU	SERPINE2
BCL2	BID
BID	BCL2L1
BID	BCL2L2
MCL1	BMF
BID	MCL1
MYC	DNMT3A
ERBB3	GRB2
PIK3R2	ERBB3
ERBB3	CSK
ERBB3	SHC1
ACAN	LUM
RET	STAT3
STAT3	EPHA5
SYT1	SV2B
SYT1	SV2C
MMP14	LUM
A1BG	CRISP3
CACNA1F	CABP4
GIPC1	MYO6
CUL1	FBXO4
PSTPIP1	FDFT1
MAGEB2	USP7
LGALS9	CTNNB1
VARS1	EEF1A2
PSTPIP1	RPL3
CD2BP2	DDX23
YWHAB	RAI14
EEF1D	EEF1A2
ARPC2	ACTR3B
WDCP	RUVBL1
PSTPIP1	ATIC
SMYD2	EPB41L3
STK16	CNTF
DOK2	PSMD10
ARPC1A	ACTR3B
YWHAG	EPB41L3
ARRB2	NOLC1
YWHAG	OSBPL3
EIF2D	RAD51
DKK1	CORO1A
RAD51	CAB39
WDCP	RUVBL2
TNFAIP8	PTP4A2
ARRB2	TCOF1
PAK4	LRRK1
YWHAB	EPB41L3
ACTR2	ACTR3B
SKP1	FBXO4
ARRB2	DDX27
PYGM	PACSIN3
CAMK2B	CAMK2A
CAMK2D	CAMK2A
AKTIP	HOOK1
PTP4A2	CNNM4
STK16	ICA1
CDC25B	KRT85
CUL1	RPRM
PSTPIP1	RPL23A
EPPK1	TRAF6
AP3B1	ARRB2
YWHAG	RABGEF1
RAB11A	RAB11FIP1
KRT85	TWF2
CNTF	ICA1
RPRM	FBXW11
EPPK1	ARF6
RHOC	ARHGDIA
ARPC4	ACTR3B
ARPC1B	ACTR3B
MAGEB2	RPL23A
YWHAZ	EPB41L3
KPNA3	ARRB2
EPPK1	GSTK1
YWHAG	RAI14
STK16	PASK
EPPK1	TSC22D1
FABP4	OSTF1
PTP4A3	NCAPG
CDK4	RPRM
TNFAIP8	PTP4A1
GH1	LTA4H
MAGEB2	RPS19
KPNA4	ARRB2
PSTPIP1	RPL32
YWHAQ	EPB41L3
TGFB1I1	CCNA1
LGALS9	JUP
S100A8	LRRK1
CASP4	SMC3
MAGEB2	RPL31
PSTPIP1	BZW1
DOK2	RAB10
RAD51	TIMM13
PSTPIP1	RUVBL1
CNTF	EXT1
RAB25	PKIG
ARRB1	BOP1
KRT85	PLEKHB2
HNF1A	PCBD1
S100A9	TAGLN
YWHAQ	CALML5
BCAS1	DYNLL1
BAG2	MLF2
MEN1	RPRM
PSTPIP1	RPL31
MAGEB2	RPS14
DEGS1	PYGM
MAGEB2	RPS16
LGALS9	SLC1A5
YWHAB	DENND4A
CTNNBIP1	PNMA2
LRRK1	C9orf163
ARRB2	BOP1
HNF1A	PCBD2
DOK2	ASF1B
STK16	HNF4A
PPM1B	VIL1
CDK4	ACTR3B
NOL3	PNKP
CHMP6	RAB17
RAD51D	RADIL
YWHAQ	RAI14
CHMP5	CAMK2A
GSN	CASP4
ELF3	EHF
FBLN1	MPG
ARPC5L	ACTR3B
PSTPIP1	BZW2
MTPN	DSTYK
ICA1	MKKS
PSTPIP1	RPL35A
ASF1B	CDIN1
RPL23A	PACSIN3
ARRB2	ARRB1
BAG2	PSMC4
ATG12	ATG10
CASP4	DNAAF5
COPG2	MAGED1
PES1	ARRB1
TIMM8A	TIMM13
S100A9	ASB3
ATIC	RADIL
HTR1B	GSTK1
PTP4A3	POLD1
PUF60	IGF2BP2
SPOP	DOK2
ARPC3	ACTR3B
MAGEB2	RPL36
YWHAG	KRT85
NEDD8	FBXO4
HNF4A	RAD50
PSMC3	HTR1E
CASP4	SRPRB
DOK2	DNAJB11
E2F7	RUVBL1
S100A9	USF2
ARPC5	ACTR3B
NOL3	PACSIN3
CASP4	MYCBPAP
MYCBPAP	CDK19
FAM107A	PPP2R2A
ARRB2	MRPL44
MPDU1	QRICH2
HNRNPL	DOCK4
GAPDH	QRICH2
MAGEB2	RPL34
CCNA1	VPS18
TWF2	ACTR3B
PSTPIP1	RPL36
AP2S1	RAB25
CCNH	RADIL
MYO1D	ILK
PTP4A3	MSH2
CNBP	BRIX1
PSTPIP1	RPL35
CDK2	RADIL
CALML5	MAGED1
HTR1E	PSMC4
PSTPIP1	RPL29
LYZ	LRRK1
ARRB2	MRPL43
CASP4	SLC25A22
CEP135	WRAP73
FBL	ARRB2
CNTF	EIF3E
CASP4	SMC1A
MAGEB2	RPS9
NUAK1	S100A9
MAGEB2	CSNK2B
YWHAZ	RAI14
MAGEB2	LXN
PES1	ARRB2
EIF6	RRP15
ELL	SIRT2
HNF4A	PABPC4
PSTPIP1	RPL34
CEP162	LXN
CDK2	CASP4
FBL	PASK
PSTPIP1	RPL37A
YWHAB	OSBPL3
ARRB2	RPL7L1
BCAS1	RUVBL2
YWHAG	BAIAP2
YWHAQ	DENND4A
NUP98	QRICH2
YWHAQ	PAK6
PSMB1	CASP4
MCC	CCNA1
S100A9	ILK
ATP2A3	WRAP73
CDK2	CDK15
PSMB1	PASK
MYO1D	PELO
ARRB2	RAB5C
MAGEB2	RPL28
WDR5	PASK
CFLAR	DOK2
MATR3	GSTK1
YWHAB	CGN
CASP4	MSH6
PSPH	PRPSAP1
EIF2S3	CASP4
CASP4	CTNNBIP1
EPPK1	PHB2
PSPH	STYXL1
PPM1A	LXN
SNRPA1	HNF1A
PSPH	ASF1B
MAGEB2	RPS11
UBE2G2	MALT1
CASP4	GCN1
CORO1A	UBE2G2
RASGRF2	EPPK1
YWHAG	DENND4A
CIRBP	LXN
TTC4	OBI1
CASP4	USP9X
HNF1A	RHPN2
YWHAB	RABGEF1
BRIX1	CDC42BPB
PTP4A3	GTF2I
YWHAG	CGN
PRKD1	HDAC5
USP2	NFKB2
RELA	IQGAP2
TNFRSF1A	FANCD2
TNFRSF1B	FANCD2
TNF	TNFRSF1B
KCNQ1	TRAF6
UFL1	CASP4
CASP4	VDAC3
DLG3	CAMK2A
KRT85	DLG3
CNTF	EXT2
FABP4	EXT2
GH1	STRAP
HNF4A	EXT2
SNRNP200	MYC
MYC	HEATR1
MYC	EEF1AKNMT
MYC	NUP205
MYC	MSH6
MYC	MCM7
MYC	POLE
MYC	GCN1
MYC	DDX24
MYC	ARHGEF2
MYC	PRPF8
MYC	MYBBP1A
MYC	EXOC4
MYC	GTF3C3
MYC	MAX
MYC	MKLN1
MYC	EFTUD2
MYC	SMARCA4
MYO1B	MYC
MYC	HNRNPC
MYC	PDS5A
LXN	PANK2
PANK2	QRICH2
PSTPIP1	DDX21
AR	HNF4A
FANCC	FANCE
AR	AKT1
AR	IL6ST
AR	RAD9A
AR	SMAD3
AR	NCOA6
NCOA6	ESR2
RARA	NCOA6
BCAR1	TRIP6
SRC	TRIP6
MUC1	APC
ATM	FANCD2
BCL2	SERPINB8
AR	CTNNB1
MYC	NMI
BLM	FANCD2
H2AX	RAD51
MSH2	BLM
CDH1	HDAC1
CDH1	HDAC2
FANCA	FANCF
FANCC	FANCF
FANCE	FANCF
FANCG	FANCF
FANCG	CDK1
AR	CCNH
AR	CDK7
CHEK2	MSH2
NFKB1	BCL3
TP53	TFAP2A
CDH1	CTNNB1
MET	CDH1
GADD45G	PCNA
AR	AR
CDH1	SRC
SRC	PIK3R1
SMAD6	CTBP1
AR	DAXX
MUC1	CTNNB1
AR	STAT3
CDK1	GADD45A
SRC	ESR2
BCL3	NFKB2
BCL3	RELB
RAD51	BABAM2
BRCC3	RAD51
SP1	AR
RBM39	ESR2
CDH1	VCL
SRC	BCAR1
EZR	BID
FAS	BID
MSN	BID
BID	RHOA
ARHGDIA	BID
TNFRSF10B	BID
TNFRSF10B	FASLG
BID	FADD
FASLG	BID
EZR	FASLG
FASLG	FADD
FAS	FASLG
MAPK8	FASLG
MSN	FASLG
FASLG	CASP10
FASLG	RHOA
FASLG	ARHGDIA
MAPK8	BID
BID	CASP10
TNFRSF1A	BID
TNFRSF1A	FASLG
CDH1	ITGAE
TFAP2A	APC
AR	GSK3B
MUC1	GSK3B
GSN	AR
SMAD7	BMPR1A
LYN	MUC1
BCAR1	PTK2
PXN	BCAR1
BCAR1	TNS1
CDH1	CTNNA1
CDH1	JUP
TP53	RAD51
AR	SELENBP1
HSP90AA1	AR
AR	UXT
AR	CAV1
JUN	AR
CDH1	CSE1L
AR	PRKDC
AR	XRCC5
AR	XRCC6
AR	BAG1
APC	MAPRE2
AR	CREBBP
E2F1	NCOA6
AR	NCOA1
NCOR1	AR
AR	NCOR2
AR	NCOA2
AR	CCND1
HDAC3	CCND1
AR	FOXO1
GATA4	MDC1
AR	FOXA1
NBN	FANCD2
AR	RNF14
ERBB2	MUC1
MYC	MAPK3
MYC	MAPK1
CCNT1	NUFIP1
CDK9	NUFIP1
CRKL	BCAR1
CRK	BCAR1
MARK3	RASGRF1
MYC	BCL2
RAD52	RAD51
BLM	RAD51
ABL1	BCAR1
CDH1	GNA13
ESR1	SRC
AR	SRC
SORBS2	SFN
SFN	ARHGEF5
SFN	BCAR1
SFN	CGN
SFN	DTX2
SFN	IRS1
SFN	AJUBA
SFN	LSR
SFN	LMO7
SFN	NEDD4L
SFN	OSBPL3
SFN	PKP2
SFN	RHPN2
SFN	SHROOM3
WEE1	SFN
FANCA	FANCC
RAD51	RAD51
RAD51B	RAD51
RAD51C	RAD51
RAD51D	RAD51
XRCC2	RAD51
XRCC3	RAD51
JUP	MUC1
MEN1	FANCD2
AR	PTEN
BCL3	N4BP2
AXIN1	APC
RB1	AR
BMP2	BMPR1A
CDH1	CDH1
AR	ZMIZ1
ATM	EIF4EBP1
PIK3CA	ATR
POLD1	ATR
CTNNB1	LEF1
CDH15	GNA12
CDH1	GNA12
BMPR1B	BMPR2
BMP7	BMPR2
TGFB1I1	AR
AR	MAPK1
ABL1	RAD51
YWHAB	RASGRF1
FANCA	AKT1
FANCA	ALDOA
FANCA	SPTAN1
FANCA	ENO1
AZIN1	FANCA
TP53	TFAP2C
EGFR	AR
AR	GSK3A
KAT7	AR
AR	NR2C1
MSH2	ATM
RAD51	ATM
FANCA	ATP5F1B
TFAP2A	CTNNB1
FANCA	RMI1
FANCA	BLM
TCERG1	FANCA
FANCA	CDK1
CDK1	FANCC
HRAS	RASGRF1
GADD45G	CDKN1A
GADD45G	GADD45A
GADD45A	GADD45GIP1
GADD45B	GADD45GIP1
NR4A1	GADD45GIP1
POLR2A	CTDP1
SIAH2	RBBP8
FANCG	CYP2E1
SPTBN1	EPB41L3
FANCA	DAXX
TP53BP1	DCLRE1A
DOK2	DOK1
DOK2	RASA1
DOK2	SHC1
DOK2	INPP5D
E2F1	TOPBP1
FANCA	LIPG
GADD45G	ESR1
FANCA	FANCA
FANCA	ERCC4
FANCA	FANCE
FANCD2	FANCE
BMPR1A	FKBP1B
FANCA	GNB2
FANCA	HSP90B1
FANCA	HPRT1
FANCA	DNAJB1
FANCA	HSP90AA1
CHUK	FANCA
FANCA	KRT1
KRT1	FANCC
SMAD7	LEF1
FANCA	CD79A
MLH1	MSH2
FANCA	MKNK1
NBN	MSH2
MSH2	RAD50
MSH2	MSH6
FANCA	MX1
FANCA	NUB1
FANCA	NAMPT
FANCA	FANCL
FANCA	DUS4L
GADD45G	PPARA
GADD45G	PPARD
FANCA	PRPF31
FANCA	PSMA5
RAD51B	RAD51C
GADD45G	RARA
RARA	GADD45A
RFC1	MSH2
IFIT3	FANCA
FANCA	RPA1
FANCA	RPL18
GADD45G	RXRA
SGK1	FANCA
SRC	NCOA6
FANCA	TAF10
CTNNB1	HNF4A
FANCA	CCT3
FANCA	TOP3A
FANCA	TPT1
RAD51C	XRCC3
FANCA	ZNF24
ELAVL4	NXF1
MAP2K1	PEBP4
RAF1	PEBP4
RET	DOK6
RET	DOK5
ITGB1	ITGA3
DNM1	FNBP1
EGF	FNBP1
AURKB	RCC2
AURKB	AURKB
SELL	EMCN
TGFB1	VASN
TGFB2	VASN
RAC1	CDC42BPG
CDC42	CDC42BPG
RHOQ	CDC42BPG
AP2M1	EHD2
EHD2	AP1M2
CCNA1	GPS2
XRCC6	CCNA1
CCNA1	RBM4
CCNA1	KLHDC9
SMC4	DNMT3B
