# Graph Type: undirected
PES1	ARRB2
KIF4A	DNPEP
SIRT2	KRT78
NUP93	PHB2
EBLN2	WRAP73
EIF6	RRP15
ELL	SIRT2
HNF4A	PABPC4
CEP162	LXN
CXorf56	NFKBIL1
ATG12	ATG16L1
CDK2	CASP4
FBL	PASK
YWHAB	OSBPL3
ARRB2	RPL7L1
PDHA1	DGKE
LXN	THRAP3
TIMM50	MAGED1
NUP98	PARP11
YWHAG	BAIAP2
CCDC59	PAK5
YWHAQ	DENND4A
PSMB1	CASP4
MCC	CCNA1
BCAR3	PABPC1
CDK4	GEMIN4
S100A9	ILK
CDK2	CDK15
EIF6	HAS1
FANCI	GSTK1
PSMB1	PASK
MYO1D	PELO
VHL	KNTC1
ARRB2	RAB5C
MAGEB2	RPL28
AURKA	SOD2
TRIM28	TNFRSF10D
WDR5	PASK
CFLAR	DOK2
NEK6	FANCI
TIMM50	PHB2
FANCI	MAGED1
MATR3	GSTK1
NTHL1	MRM3
CASP4	MSH6
PSPH	PRPSAP1
BCAR3	IMPDH2
EIF2S3	CASP4
BCAR3	IARS1
CASP4	CTNNBIP1
KRT82	LYAR
EPPK1	PHB2
VHL	HAS1
PSPH	STYXL1
PPM1A	LXN
SNRPA1	HNF1A
PSPH	ASF1B
FIBP	GEMIN4
MAGEB2	RPS11
UBE2G2	MALT1
CASP4	GCN1
KHK	RANBP3
CORO1A	UBE2G2
RASGRF2	EPPK1
YWHAG	DENND4A
CIRBP	LXN
PFAS	EPB41
TTC4	OBI1
CASP4	USP9X
CLASP2	LXN
AURKA	UBE2L3
BRIX1	CDC42BPB
CRB1	PSMD13
PTP4A3	GTF2I
TERT	NCL
PRKD1	HDAC5
MAP3K8	NFKB2
MAP3K8	RELA
MAP3K8	REL
USP2	NFKB2
RELA	IQGAP2
TBKBP1	TBK1
TNFRSF1A	FANCD2
TNFRSF1B	FANCD2
TNF	TNFRSF1B
POLQ	AP2S1
GEMIN4	BRF2
BRF2	FANCI
NUP93	BRF2
UFL1	CASP4
CASP4	VDAC3
DLG3	CAMK2A
KRT31	DLG3
KRT85	DLG3
S100A3	DLG3
CNTF	EXT2
CRB1	EXT2
CLEC2L	EXT2
FABP4	EXT2
FIBP	CLEC2L
HNF4A	EXT2
SNRNP200	MYC
MYC	HEATR1
MYC	EEF1AKNMT
MYC	NUP205
MYC	MSH6
MYC	MCM7
MYC	POLE
MYC	NUP93
MYC	FANCI
MYC	GCN1
MYC	DDX24
MYC	ARHGEF2
MYC	GEMIN4
MYC	PRPF8
MYC	MYBBP1A
MYC	EXOC4
MYC	GTF3C3
MYC	MAX
MYC	MKLN1
MYC	EFTUD2
MYC	SMARCA4
MYO1B	MYC
MYC	HNRNPC
MYC	PDS5A
LXN	PANK2
AR	HNF4A
FANCC	FANCE
AR	AKT1
AR	IL6ST
AR	RAD9A
AR	SMAD3
AR	NCOA6
NCOA6	ESR2
RARA	NCOA6
BCAR1	TRIP6
SRC	TRIP6
ATM	FANCD2
H2AX	BARD1
UBE2D1	BARD1
RELA	BARD1
MSH2	BARD1
BCL2	BAX
BCL2	SERPINB8
AR	CTNNB1
BAX	BCL2L1
MYC	NMI
BLM	FANCD2
H2AX	RAD51
MRE11	BLM
MSH2	BLM
NBN	MRE11
MRE11	RAD50
BUB1B	HDAC1
CDC20	HDAC1
CDC20	HDAC2
FANCA	FANCF
FANCC	FANCF
FANCE	FANCF
FANCG	FANCF
FANCG	CDK1
AR	CCNH
AR	CDK7
CHEK2	MSH2
NFKB1	BCL3
TP53	TFAP2A
GADD45G	PCNA
AR	AR
SRC	PIK3R1
SMAD6	CTBP1
AR	DAXX
AR	STAT3
CDK1	GADD45A
SRC	ESR2
BCL3	NFKB2
BCL3	RELB
BARD1	BABAM2
BRCC3	BARD1
RAD51	BARD1
RAD51	BABAM2
BRCC3	RAD51
SP1	AR
RBM39	ESR2
EWSR1	BARD1
SRC	BCAR1
EZR	BID
FAS	BID
MSN	BID
BID	RHOA
ARHGDIA	BID
TNFRSF10B	BID
TNFRSF10B	FASLG
TNFRSF10B	CASP8
BID	FADD
FADD	CASP8
FASLG	BID
EZR	FASLG
FASLG	FADD
FAS	FASLG
MAPK8	FASLG
MSN	FASLG
FASLG	CASP10
FASLG	CASP8
FASLG	RHOA
FASLG	ARHGDIA
MAPK8	BID
BID	CASP10
BID	CASP8
EZR	CASP8
FAS	CASP8
MAPK8	CASP8
MSN	CASP8
CASP8	CASP10
RHOA	CASP8
ARHGDIA	CASP8
TNFRSF1A	BID
TNFRSF1A	FASLG
TNFRSF1A	CASP8
TFAP2A	APC
AR	GSK3B
GSN	AR
SMAD7	BMPR1A
CDC20	MAD2L1
CSTF2	BARD1
CDC20	MAD2L2
BCAR1	PTK2
PXN	BCAR1
BCAR1	TNS1
TP53	BARD1
TP53	RAD51
AR	SELENBP1
HSP90AA1	AR
AR	UXT
AR	CAV1
JUN	AR
KIF4A	HMG20B
AR	PRKDC
AR	XRCC5
AR	XRCC6
AR	BAG1
APC	MAPRE2
AR	CREBBP
E2F1	NCOA6
AR	NCOA1
NCOR1	AR
AR	NCOR2
AR	NCOA2
AR	CCND1
HDAC3	CCND1
AR	FOXO1
GATA4	MDC1
MDC1	HDAC8
NBN	FANCD2
AR	RNF14
MYC	MAPK3
MYC	MAPK1
CCNT1	NUFIP1
CDK9	NUFIP1
CRKL	BCAR1
CRK	BCAR1
MYC	BCL2
RAD52	RAD51
BLM	RAD51
ABL1	BCAR1
VDAC1	BAX
ESR1	SRC
AR	SRC
SORBS2	SFN
SFN	ARHGEF5
SFN	BCAR1
SFN	DTX2
SFN	IRS1
SFN	AJUBA
SFN	LMO7
SFN	NEDD4L
SFN	OSBPL3
SFN	PKP2
PPP1R3D	SFN
SFN	RALGPS2
WEE1	SFN
FANCA	FANCC
RAD51	RAD51
RAD51C	RAD51
RAD51D	RAD51
XRCC2	RAD51
MEN1	FANCD2
AR	PTEN
BCL3	N4BP2
AXIN1	APC
RB1	AR
BMP2	BMPR1A
AR	ZMIZ1
UBE2D2	BARD1
ATM	EIF4EBP1
MRE11	ATM
MRE11	ATR
MRE11	PRKDC
PIK3CA	ATR
POLD1	ATR
CTNNB1	LEF1
CDH15	GNA12
CDH2	GNA12
CDH2	GNA13
BMPR1B	BMPR2
TGFB1I1	AR
AR	MAPK1
ABL1	RAD51
FANCA	AKT1
FANCA	ALDOA
FANCA	SPTAN1
FANCA	ENO1
AZIN1	FANCA
TP53	TFAP2C
EGFR	AR
AR	GSK3A
KAT7	AR
AR	NR2C1
MSH2	ATM
RAD51	ATM
FANCA	ATP5F1B
BARD1	BARD1
TFAP2A	CTNNB1
FANCA	RMI1
FANCA	BLM
TCERG1	FANCA
FANCA	CDK1
CDK1	FANCC
