# Graph Type: undirected
ADAMTSL4	CATSPER1
TEX9	CCDC112
MAGEA11	PNKD
TEX11	CFAP53
APPBP2	WDR24
TULP2	EWSR1
ISG15	USP18
CCDC85B	EZH2
KRT15	RCOR3
HSPB7	HSPB8
TPM1	KXD1
TXNL4A	RHEBL1
DPPA2	PBXIP1
GSE1	NUDT18
KEL	EWSR1
KRT15	TSG101
NUDT18	APIP
MAGEA11	NDEL1
ZNF250	HOOK1
DACH1	NAGK
MMTAG2	THAP1
CCDC85B	CCDC185
CTBP2	TEAD3
ZBTB25	MAPK9
ZNF646	UBE2I
CKB	ASB9
ZNF165	ZNF446
PAFAH1B3	PAFAH1B3
TRIM37	BYSL
DCTD	CEP76
ZNRD2	CCDC33
ZNF821	LURAP1
MAGEA11	NDUFB9
USP2	CCDC85B
MAGEA11	MYOZ1
KLHL12	LNX1
MAD2L1	TSC22D4
NADK	NUDT18
NDC80	WASHC3
NONO	MAD1L1
CCDC42	TSC22D4
ZMYND10	TSC22D4
BEND5	CTNNBIP1
NUDT18	KCTD13
NKAP	THAP1
KCTD17	NIF3L1
ZNRD2	TRAPPC6A
SNAP29	LURAP1
RIBC2	TREX1
TRIP13	LNX1
MAGEA11	ARHGAP29
CCER1	RBPMS
PLK4	TENT5C
USP2	KRT15
USO1	C1orf94
GINS4	GINS2
KRT15	C1orf216
ENKD1	PDLIM7
CALML3	IQCN
RARA	RXRG
SIX1	CCDC85B
DVL2	ELOA2
CCDC85B	RBM41
ZNRD2	IL16
NOL4	CTBP2
FBF1	ACCS
KHDRBS3	NUDT18
TEX11	RIBC2
CDC25A	NAA10
BORCS5	PUF60
MAGEA11	MLF1
MAGEA11	DIEXF
CCNK	CEP76
MAGEA11	EWSR1
TEAD4	WWTR1
LNX1	TIFA
DTNB	CCDC85B
CEP55	POM121
TRIP13	DTX2
ZC3H12A	TANK
JUP	RIBC2
LNX1	CEP72
THAP1	THAP1
TPM3	KXD1
EWSR1	DMRTB1
LNX1	RABAC1
PSME3	NUDT18
LMO2	MAPRE3
DPPA2	DPPA2
TRIP6	CATSPER1
NECAB2	TEX11
DHPS	EIF5A2
GSTZ1	GSTZ1
ZNF165	EWSR1
ZNF408	THAP1
IFFO1	RNF183
PCBD1	LNX1
PRKN	TRIP13
GTPBP10	NECAB2
RCN3	SUFU
NRIP1	TEX11
ZNF426	NINL
FXR2	KCNRG
EFEMP2	LINGO1
S100A1	S100A1
SORBS3	DMRTB1
U2AF2	LURAP1
DVL2	DDI1
AIMP2	FHL3
ZBTB25	KXD1
MAGEA11	ZBTB16
DAZAP2	NOC4L
SGTA	NME3
TRIM37	DLGAP5
PRDX3	MAGEA11
AP2M1	RSPH14
EMC2	EMC9
ZCCHC12	APPBP2
ZNF24	ZNF446
ZNRD2	ZNRD2
CCDC85B	CCDC116
FHL3	MED15
TNNT1	PPFIA1
LURAP1	BLOC1S6
TNNT1	TNNT1
TEAD4	CCDC85B
ZNRD2	CCT3
LNX1	NAGK
RARA	RXRB
DEUP1	CCDC85B
AP2B1	THAP1
NECAB2	NECAB2
CDC42EP1	FHL3
FANCG	SAMD3
SMAD9	SMAD4
CRK	DPPA4
SEC24D	SEC23B
EFEMP2	RIBC2
LNX1	KCTD13
ZBED1	NUDT18
TEX11	LIN37
CCDC85B	RIBC2
AIMP2	LNX1
ZNRD2	VTA1
NECAB2	RCOR3
MAGEA11	TRMT1
CLEC1B	NINL
GTPBP3	PARP11
BUB1	CRK
DPPA2	VTA1
LNX1	APIP
ZNF446	ZNF232
DTX2	UBE2D4
CFAP206	RNF138
TCL1A	H2AW
RNF183	KXD1
KCTD17	LNX1
LNX1	DDX17
FHL3	LNX1
KRT15	NOC4L
PRC1	TRIM37
KRT15	WAC
TRIM23	LNX1
NECAB2	LNX1
RUNX1T1	BRME1
NFIC	TKTL2
HYI	TEX11
MAGEA11	TMEM123
PAFAH1B3	CHMP7
KASH5	CCDC87
EWSR1	SERP2
MAGEA11	BEX2
NME5	DYDC2
CCDC185	LURAP1
NUDT18	RABAC1
HID1	RCN3
HPCAL1	DTX2
KIFBP	PLEKHF1
DPPA2	AP2M1
MAGEA11	TCF25
MBIP	EPB41L3
ZSCAN32	ZKSCAN7
CEP70	ZNF408
SAT1	LNX1
MAGEA11	TEX37
EWSR1	BRME1
FHL3	ADAMTSL4
DPEP1	KIFBP
NUDT18	EVI5L
STAT5A	MAGEA12
NUDT18	RWDD1
STK16	KCTD17
ZNF446	SUFU
TNNT1	ZMYND19
MAGEA1	SH3GLB2
NCALD	DTX2
TNNT1	PSMC5
MAGEA11	PNKP
EWSR1	ELAVL3
E2F6	TFDP1
CEP70	ZNF426
RBPMS	TEX37
RIBC2	NINL
RIBC2	NRBP1
SORBS3	ZBTB25
LNX1	TSC22D4
FHL3	LASP1
ELAVL4	EWSR1
CTH	CTH
KRT15	TXNDC11
CKB	SERP2
STAC3	STAC3
UQCRB	MAGEA1
KHDRBS3	RBM7
MAGEA11	LAS2
ZCCHC10	STAC3
CKS2	TSC22D4
DUSP6	TEX11
CALCOCO2	PCGF1
KRT15	CALCOCO1
HGS	LURAP1
ZBTB43	LNX1
CDC42EP1	MAPKAP1
MAGEA4	TRIM69
RCN3	KLHL42
SCAND1	ZKSCAN7
KIAA1217	TEX11
TCL1A	CALCOCO2
DCTD	NUDT18
CDKN2D	TBC1D17
NXF3	NXT1
AQP1	KCTD17
EWSR1	CCDC7
CEP72	SPATA2
CREB3	MALL
KANSL1	NECAB2
RTN3	RAB33A
BRME1	COPS4
AP5B1	KCNRG
CCDC85B	SPATA46
CALCOCO2	ELOA2
TP53RK	TPRKB
PLSCR1	CDC42EP1
IFIT3	DEUP1
S100A1	NIF3L1
FAM107A	HOOK2
EYA2	RBPMS
BRME1	BRME1
ACTN1	MAGEA11
MAGEA11	CEP76
CALCOCO2	ENKD1
NECAB2	NEK6
KDM8	PCYT2
ZC3H12A	AHSP
FUZ	CPLANE2
ZNRD2	NOC4L
DPPA2	ZCCHC10
CALCOCO2	ZNF426
FAM160A2	REEP6
CCDC185	PDLIM7
CALCOCO2	FNDC11
CEP55	TSG101
MAGEA11	RADIL
SIGLEC5	TRIP13
DMRTB1	NIF3L1
TEX11	TCHP
RUNX1T1	NECAB2
KRT15	RIBC2
SULT2B1	FLACC1
ASPA	ASPA
FHL3	TRIP6
CCDC112	LURAP1
CCDC85B	ENKD1
KRT15	RHPN1
DVL3	ZNF408
DVL2	ENKD1
FAM107A	KRT15
CCDC158	SH3GLB2
NOC4L	TSC22D4
DTNB	BEGAIN
ZBTB16	ENOX1
FAM107A	BEGAIN
PRMT2	DMRTB1
CCDC158	SGF29
PLSCR1	HEY2
EFEMP2	ZNF426
RBFOX2	DMRTB1
DNAL4	FHL5
MAGEA11	NSUN4
DPPA4	DPPA2
TEX11	POM121
BUB1	ARIH2
AKIRIN2	LNX1
ZNF165	SCAND1
LNX1	KXD1
CCDC158	NAGK
TBL3	APPBP2
DYDC1	DPY30
U2AF2	DPPA2
TRIM27	MAGEA11
PSMD4	RASSF8
NUP62	THAP1
NUDT18	HSD17B14
HOOK2	RIBC2
MAGEA11	SH2D4A
FHL3	RBM42
ZNRD2	CCT5
KRT15	LNX1
TEAD3	WWTR1
RNF40	NCBP1
CBY2	TUBGCP4
CDKN2B	MAGEA11
TRIM37	NUDT18
MAGEA11	CCDC14
MAGEA11	ZSWIM2
KRT15	NUDT18
CALCOCO2	ZNF408
NUDT18	KCTD17
MAGEA11	TCEA2
KIF6	APPBP2
