# Graph Type: undirected
LMO3	KXD1
FBXW5	MDFI
ZCCHC12	APPBP2
RFX2	MDFI
ZNF24	ZNF446
LDB1	LMO3
FHL3	MED15
LURAP1	BLOC1S6
MEOX2	SAMM50
DOCK10	LURAP1
LNX1	NAGK
CALCOCO2	MCM10
RARA	RXRB
AP2B1	THAP1
RABL6	MDFI
KRT19	ZNF638
CCDC85B	LMO3
STX11	KXD1
CDC42EP1	FHL3
SMAD9	SMAD4
PHC2	LMO3
SEC24D	SEC23B
LNX1	KCTD13
DCAF8	MDFI
AIMP2	LNX1
PDE9A	PHYHIPL
MDFI	TINAGL1
SYT17	NINL
GTPBP3	PARP11
LNX1	APIP
ZNF446	ZNF232
SFI1	MDFI
TCL1A	H2AW
RNF183	KXD1
LNX1	DDX17
MAPRE2	NIF3L1
FHL3	LNX1
MDFI	SPG7
PRC1	TRIM37
KRT15	WAC
NOL3	NIF3L1
ZNF136	MDFI
TRIM23	LNX1
PAFAH1B3	CHMP7
EWSR1	SERP2
HID1	RCN3
KIFBP	PLEKHF1
MDFI	METTL17
MBIP	EPB41L3
PGLS	MDFI
SAT1	LNX1
DYRK2	RAD54B
FHL3	ADAMTSL4
SNAPC5	BATF
RPS15A	ELF5
ZNF446	SUFU
MAPRE2	MAPRE2
PEX5	PDZK1
SGTB	RAI2
E2F6	TFDP1
CEP70	ZNF426
RBPMS	TEX37
CSNK1E	RAD54B
LNX1	TSC22D4
FHL3	LASP1
CTH	CTH
MDFI	PIDD1
DTNB	PRTFDC1
KRT15	TXNDC11
CKB	SERP2
SIRPA	TRIM2
KHDRBS3	RBM7
MDFI	NPDC1
SEC13	SEC16B
CKS2	TSC22D4
CALCOCO2	PCGF1
ATG12	MDFI
KRT15	CALCOCO1
HGS	LURAP1
ZBTB43	LNX1
CDC42EP1	MAPKAP1
MLLT3	APPBP2
EFEMP2	COL8A1
RCN3	KLHL42
CBX2	MDFI
TCL1A	CALCOCO2
MCM5	MDFI
VASP	TRIM9
NECTIN2	MDFI
CREB3	MALL
UBE2I	RAD54B
CCDC85B	SPATA46
TP53RK	TPRKB
PLSCR1	CDC42EP1
LRCH4	MDFI
S100A1	NIF3L1
FAM107A	HOOK2
EYA2	RBPMS
CALCOCO2	ENKD1
KDM8	PCYT2
CALCOCO2	ZNF426
FAM160A2	REEP6
MAGOHB	AMOTL2
LMO3	MDFI
ZNF165	FAM124A
GJA5	AAR2
ASPA	ASPA
FHL3	TRIP6
CCDC112	LURAP1
CCDC85B	ENKD1
KRT15	RHPN1
DVL2	ENKD1
FAM107A	KRT15
CCDC158	SH3GLB2
DTNB	BEGAIN
TRIM37	MCM10
ZBTB16	ENOX1
FAM107A	BEGAIN
CCDC158	SGF29
PLSCR1	HEY2
EFEMP2	ZNF426
TAP1	MDFI
DNAL4	FHL5
INTS11	MDFI
AKIRIN2	LNX1
ZNF165	SCAND1
LNX1	KXD1
CCDC158	NAGK
MDFI	ZNF581
TBL3	APPBP2
PSMD4	RASSF8
NUP62	THAP1
CNNM3	MDFI
CAVIN2	PLEKHF2
SYT17	TSC22D4
LASP1	MDFI
NMI	EMILIN1
MCM10	NINL
TRAPPC6A	RAD54B
FHL3	RBM42
KRT15	LNX1
ZNF764	MDFI
TEAD3	WWTR1
RNF40	NCBP1
CBY2	TUBGCP4
LNX1	DVL3
SP100	SUMO1
CCNK	CDK18
CHTF8	EIF4EBP1
CEP70	ENKD1
TRIM29	MAD1L1
ZBTB48	DVL3
FBP1	RNF183
LNX1	EHMT2
PRKAR1A	PYCARD
CCDC85B	FAM13C
ZCCHC10	THAP1
YIPF4	YIPF3
KRT15	ZNF638
AMOTL2	MAD1L1
CBFA2T2	MDFI
ZNF101	MDFI
HOMER1	SARG
APPBP2	PCSK5
KRT15	AMOTL2
KRT15	KRT81
ZNF165	PDLIM7
RAD54B	RAD54B
CCDC85B	CARD9
FANCG	KRT19
MDFI	DNPEP
EWSR1	MDFI
KRT15	NIF3L1
PAICS	LNX1
PHF1	THAP1
AP2B1	TENT5C
FAM107A	CCDC85B
HIF1AN	INVS
KRT15	KIAA1217
HNRNPM	LMO3
ZSCAN9	ZNF446
PRC1	CCDC85B
PHLDA1	MDFI
CDCA3	CTDSP1
DTNB	HMG20A
CCDC85B	PIDD1
SAT1	FAM86C1P
KRT15	PSMA1
HNRNPC	LMO3
KRT15	ABI2
HGS	TADA2A
ABLIM1	KRT15
U2AF2	THAP1
LNX1	RAD54B
RBPMS	ENKD1
PDE9A	PDE9A
STAT5A	PRTFDC1
HOOK2	UTP14A
FBP1	LNX1
FAM107A	NINL
TRIM9	BTRC
APPBP2	SYT11
BEGAIN	ENKD1
DTNB	PPFIBP2
TUBGCP4	MAD1L1
FOSL1	CALCOCO1
TRIP13	PLK3
STX11	STX11
VPS72	MDFI
CEP63	KXD1
STRBP	THAP1
EWSR1	SUV39H2
HPRT1	PRTFDC1
ENOX2	ENOX1
ZNF205	MDFI
KRT15	PSMC5
DVL2	ZNF165
LMO3	MBIP
FAM107A	CALCOCO2
FAM107A	KRT19
ZNF250	ZNF165
KRT15	PRPH
KRT15	MAD2L1BP
DVL2	THAP1
CBY2	CEP44
CBY2	CBY2
PRKCZ	PARD6A
NME1	NME3
TADA2A	TADA3
GYG2	GYS1
S100A2	S100A2
KHDRBS3	SIAH1
CDK4	CDKN2B
AP2B1	AP1M2
E2F6	TFDP2
SNAP23	STX11
EIF4E	EIF4EBP1
GEMIN6	GEMIN7
FOSL1	JUNB
S100B	S100A1
DDIT3	BATF
MAD1L1	MAD1L1
S100A1	S100A4
MCM6	MCM10
MAD2L1	MAD1L1
MAGOHB	RBM8A
CCND3	MCM10
ZBTB48	ZBTB8A
LMO3	ZBTB8A
LNX1	ZBTB8A
MCM10	ZBTB8A
ZNF276	ZBTB8A
PLAU	SERPINE1
PLAU	SERPINE2
FGF2	SDC1
FGF2	SDC2
FGF2	SDC4
BCL2	BID
BCL2	PMAIP1
BID	BCL2L1
BCL2L1	PMAIP1
BID	BCL2L2
MCL1	BMF
BID	MCL1
MCL1	PMAIP1
MYC	DNMT3A
BCL2	ITPR1
MIS12	DSN1
ERBB3	GRB2
PIK3R2	ERBB3
ERBB3	CSK
ERBB3	SHC1
ACAN	LUM
NSL1	DSN1
CBX3	DSN1
PMF1	DSN1
CBX5	DSN1
ZWINT	DSN1
MTOR	RPTOR
FKBP1A	RPTOR
SYT1	SV2B
SYT1	SV2C
MMP14	LUM
GIPC1	MYO6
CUL1	FBXO4
LIG4	PNKP
MAGEB2	USP7
GSK3B	GEMIN4
LGALS9	CTNNB1
GEMIN4	RNPS1
ALDH16A1	PAAF1
CD2BP2	DDX23
YWHAB	RAI14
KHK	AP2S1
ARPC2	ACTR3B
SMYD2	EPB41L3
DOK2	PSMD10
ARPC1A	ACTR3B
YWHAG	EPB41L3
ARRB2	NOLC1
PPM1B	RASGRP1
YWHAG	OSBPL3
DKK1	CORO1A
ARRB1	KHK
EIF4EBP1	UBAC1
TNFAIP8	PTP4A2
CCNH	MNAT1
RNPS1	NRDE2
ARRB2	TCOF1
PAK4	LRRK1
YWHAB	EPB41L3
ACTR2	ACTR3B
SKP1	FBXO4
ARRB2	DDX27
PYGM	PACSIN3
AKTIP	HOOK1
PTP4A2	CNNM4
STK16	ICA1
CDC25B	KRT85
CUL1	RPRM
EPPK1	TRAF6
AP3B1	ARRB2
RAB11A	RAB11FIP1
KRT85	TWF2
FNTB	PTP4A2
RPRM	FBXW11
EPPK1	ARF6
YWHAG	MARK2
ARPC4	ACTR3B
SNRPB	KHK
ARPC1B	ACTR3B
MAGEB2	RPL23A
NUP93	PHLDA3
YWHAZ	EPB41L3
KRT85	LYAR
KPNA3	ARRB2
EPPK1	GSTK1
YWHAG	RAI14
PFAS	TRAF6
STK16	PASK
EPPK1	TSC22D1
FABP4	OSTF1
PTP4A3	NCAPG
CD2BP2	USP39
GIPC1	GEMIN4
LRPPRC	TNFRSF10D
DHX57	LYAR
PTP4A3	FANCI
CDK4	RPRM
TNFAIP8	PTP4A1
MAGEB2	RPS19
KPNA4	ARRB2
YWHAQ	EPB41L3
SGK1	LTF
LGALS9	JUP
S100A8	LRRK1
CASP4	SMC3
MAGEB2	RPL31
DOK2	RAB10
RAB25	PKIG
ARRB1	BOP1
KRT85	PLEKHB2
BRIX1	LYAR
S100A9	TAGLN
PFAS	VHL
BCAS1	DYNLL1
MEN1	RPRM
MAGEB2	RPS14
GIPC1	NUP93
DEGS1	PYGM
MAGEB2	RPS16
LGALS9	SLC1A5
STK16	EBLN2
YWHAB	DENND4A
CTNNBIP1	PNMA2
LRRK1	C9orf163
TUSC2	EBLN2
ARRB2	BOP1
DOK2	ASF1B
SNCG	FABP4
CDK4	ACTR3B
DFFA	DFFB
DEDD	KHK
KHK	LYZ
RPA3	PARP3
NOL3	PNKP
ILK	FANCI
CHMP6	RAB17
RAD51D	RADIL
YWHAQ	RAI14
GSN	CASP4
ELF3	EHF
FBLN1	MPG
ARPC5L	ACTR3B
IQGAP2	UBAC1
ICA1	MKKS
GEMIN4	ILK
TIMM50	AKTIP
ASF1B	CDIN1
EBLN2	CAB39
RPL23A	PACSIN3
YWHAQ	MARK2
FANCC	EBLN2
SNCG	TIMP2
TUSC2	SGO2
BIRC5	USF2
ARRB2	ARRB1
CASP4	DNAAF5
COPG2	MAGED1
PES1	ARRB1
TIMM8A	TIMM13
S100A9	ASB3
ATIC	RADIL
MED7	BARHL1
MTHFD2	PARP3
PTP4A3	POLD1
DGKE	NUDC
FSCN1	GNAS
PFAS	TFE3
H2BC21	PARP3
PUF60	IGF2BP2
SPOP	DOK2
AP1S1	EBLN2
ARPC3	ACTR3B
MAGEB2	RPL36
PFAS	MCC
YWHAG	KRT85
NEDD8	FBXO4
SNCG	DYNLL1
SNRPB	GEMIN4
CASP4	SRPRB
DOK2	DNAJB11
S100A9	USF2
ARPC5	ACTR3B
CASP4	NUP93
NOL3	PACSIN3
BCAR3	TARS1
NUP93	PNKP
CD2BP2	RAD54B
MYH10	TNFRSF10D
TRIP6	AFAP1L1
VHL	FSCN1
DGKE	SET
MAD2L1	DSTYK
FAM107A	PPP2R2A
ARRB2	MRPL44
PAICS	DGKE
HNRNPL	DOCK4
MAGEB2	RPL34
TWF2	ACTR3B
AP2S1	RAB25
RASGRP1	VHL
CCNH	RADIL
MYO1D	ILK
KHK	RNPS1
MOV10	PUF60
CD2BP2	KHK
PTP4A3	MSH2
CNBP	BRIX1
YWHAQ	RASGRP3
CDK2	RADIL
KHK	CDK5RAP3
LYZ	LRRK1
TIMM50	PELO
ARRB2	MRPL43
CASP4	SLC25A22
CEP135	WRAP73
FBL	ARRB2
NUP93	NEK6
TSC22D1	NUP93
PFAS	TNFRSF10D
SF3B3	TNFRSF10D
CASP4	SMC1A
DHX57	DDX56
MAGEB2	RPS9
NUAK1	S100A9
CIAO1	MCM5
MAGEB2	CSNK2B
PELO	FANCI
YWHAZ	RAI14
YWHAZ	RALGPS2
MAGEB2	LXN
PES1	ARRB2
NUP93	PHB2
EBLN2	WRAP73
EIF6	RRP15
CEP162	LXN
ATG12	ATG16L1
CDK2	CASP4
FBL	PASK
YWHAB	OSBPL3
ARRB2	RPL7L1
BCAS1	RUVBL2
PDHA1	DGKE
LXN	THRAP3
TIMM50	MAGED1
NUP98	PARP11
YWHAQ	DENND4A
YWHAQ	PAK6
PSMB1	CASP4
BCAR3	PABPC1
CDK4	GEMIN4
S100A9	ILK
RUNX3	PHB2
ATP2A3	WRAP73
FANCI	GSTK1
PSMB1	PASK
MYO1D	PELO
VHL	KNTC1
ARRB2	RAB5C
MAGEB2	RPL28
TRIM28	TNFRSF10D
WDR5	PASK
CFLAR	DOK2
NEK6	FANCI
TIMM50	PHB2
FANCI	MAGED1
MATR3	GSTK1
NTHL1	MRM3
YWHAB	CGN
CASP4	MSH6
BCAR3	IMPDH2
EIF2S3	CASP4
BCAR3	IARS1
CASP4	CTNNBIP1
KRT82	LYAR
EPPK1	PHB2
PPM1A	LXN
FIBP	GEMIN4
MAGEB2	RPS11
UBE2G2	MALT1
CASP4	GCN1
KHK	RANBP3
SNCG	MCM3
CORO1A	UBE2G2
RASGRF2	EPPK1
YWHAG	DENND4A
CIRBP	LXN
PFAS	EPB41
SNCG	FUBP1
TTC4	OBI1
CASP4	USP9X
CLASP2	LXN
BRIX1	CDC42BPB
PTP4A3	GTF2I
YWHAG	CGN
PIK3R1	LCP2
ITK	LCP2
NCK1	LCP2
PRKD1	HDAC5
MAP3K8	NFKB2
MAP3K8	RELA
MAP3K8	REL
MARK2	MAP3K3
RELA	IQGAP2
TBKBP1	TBK1
TNFRSF1A	FANCD2
TNFRSF1B	FANCD2
KCNQ1	TRAF6
POLQ	AP2S1
