# Graph Type: undirected
A	B
CSNK2A1	CHD3
MDC1	ANAPC5
CDC16	MDC1
CDC27	MDC1
OAZ1	SMAD1
PSMB4	OAZ1
NONO	TOPORS
SFPQ	TOPORS
SIN3A	TOPORS
PARP1	TOPORS
SAFB2	TOPORS
DDB2	TOPORS
RBBP7	TOPORS
TRIM28	TOPORS
RBBP4	TOPORS
SMARCC2	TOPORS
DHX15	TOPORS
HNRNPL	TOPORS
RANGAP1	TOPORS
UPF3A	TOPORS
HNRNPM	TOPORS
HNRNPA1	TOPORS
SF3B1	TOPORS
EEF1A1	TOPORS
STAT5A	SMARCA4
CEBPB	SMARCA4
SKI	SMAD5
HDAC1	SMAD1
HDAC1	SMAD5
SMAD4	HDAC1
CTBP1	BCORL1
HDAC4	BCORL1
BCORL1	HDAC5
BCORL1	HDAC7
NCOR1	BAZ1A
SIRT2	HDAC6
YY1	YY1
JUNB	YY1
JUND	YY1
PAXIP1	KMT2B
BLM	PAXIP1
PAXIP1	DPY30
NBN	PAXIP1
RBBP5	RBBP5
NCOA6	NCOA6
RBBP5	PAGR1
PAGR1	ASH2L
RBBP5	KMT2B
ASH2L	KMT2B
PAGR1	KMT2B
KMT2C	PAGR1
NCOA6	PAGR1
WDR5	PAGR1
DHX9	WRN
NR3C1	MDM2
TAF10	SAP130
TAF10	TAF5
TAF10	TAF8
TAF6	TAF8
TAF13	TAF8
TAF5	TAF8
SUPT7L	TAF8
TAF8	TAF8
NFKBIA	CUL1
CCNT1	MAX
TRAPPC3	TRAPPC8
TRAPPC2L	TRAPPC8
NPC1	LRP6
PHF12	MORF4L1
HDAC1	PPP4R3A
TP53	KMT2E
ESR1	KAT6A
TLE1	SIRT1
HIRA	MEF2D
HIRA	CABIN1
NFATC1	HDAC5
NFATC1	KAT2B
NFATC1	EP300
HDAC1	ZNF148
ATXN1	HDAC4
CTTN	HDAC6
PIM1	MAX
FBL	RUVBL2
FBL	RUVBL1
NPM1	HDAC1
NPM1	HDAC2
TAF9	KLF6
TAF9	RUVBL2
TAF9	RUVBL1
FBL	PIH1D1
FBL	KLF6
FBL	TAF9
EHMT2	PRDM5
HDAC1	PRDM5
KDM1A	MBD2
UBTF	TAF1D
FOS	ESR1
PCNT	CHD3
PCNT	CHD4
PCNT	MBD3
PCNT	RBBP7
MAPK1	EP300
EMD	SIKE1
MYH9	EMD
EMD	SPTAN1
EMD	MYO1E
EMD	CNN3
EMD	ACTB
MYO1C	EMD
BANF1	EMD
HDAC3	EMD
EMD	HDAC1
EMD	SAP130
LSM8	EMD
EMD	LSM2
SSB	EMD
ZRANB2	EMD
EMD	HNRNPU
EMD	C1QBP
YWHAB	EMD
EMD	BCCIP
EMD	G3BP1
EMD	CDC37
EMD	HDGF
THRA	EMD
MCM2	EMD
MCM4	EMD
EMD	MCM6
TBL1X	EMD
EMD	TBL1XR1
EMD	TRIM28
EMD	SMARCC1
EMD	SMARCC2
EMD	SMARCB1
EMD	MED4
EMD	RCOR1
EMD	DPY30
EMD	CHD4
SAP18	EMD
YWHAQ	EMD
EMD	YWHAE
NCOR1	EMD
UBE2I	MDM2
RBX1	SMAD3
CREB1	CCDC6
ATF2	CCDC6
PPP1CA	CCDC6
CREB1	PPP1CA
HDAC1	CCDC6
BCL6	CREBBP
CBX5	ORC2
KLF5	HDAC2
DNMT1	SUZ12
MTA1	PARK7
PML	SF1
PML	SMARCA4
JUN	STAT6
TGFBR2	SMURF1
NME1	STRAP
SGK1	PDK1
ESRRA	KAT2B
ESRRA	SIRT1
RASGRF2	KRAS
RNF40	RNF20
RNF20	WAC
RNF40	WAC
POLR2A	WAC
ESR1	HDAC2
OVOL1	HDAC1
OVOL1	HDAC2
OVOL1	HDAC3
TPR	KAT8
PRKDC	KAT8
OGT	KAT8
PHF20	KAT8
PHF20L1	KAT8
MCRS1	KAT8
PRKDC	MSL3
RIOX1	TRRAP
KAT5	RIOX1
NBN	SIRT1
HCFC1	E2F4
E2F4	SIN3A
E2F4	ASH2L
KAT2B	NKX3-1
SMARCA4	MRTFA
HDAC3	CREB3
SIAH1	PHC2
NR3C1	STUB1
UBC	STUB1
PSMD4	STUB1
GABPA	EP300
GABPA	HDAC1
CEBPB	KAT2A
CEBPB	KAT2B
CEBPB	HDAC9
IST1	CHMP1B
SMARCA2	DPF2
SMARCA4	DPF2
DPF2	SMARCC1
DPF2	SMARCD1
SMARCB1	DPF2
RELA	DPF2
REL	DPF2
NFKB1	DPF2
NFKB2	DPF2
SMARCA2	ZMAT3
SMARCA2	BCL7A
NPM1	SMARCA4
SMARCA4	KPNA2
SMARCA4	BCL7A
PCNA	SETMAR
SETMAR	RAD9A
AKT1	SETDB1
AKT2	SETDB1
SRCAP	MORF4L1
KDM5A	MORF4L1
SIN3B	MORF4L1
EPC1	MORF4L1
EPC2	MORF4L1
KPNB1	MORF4L1
HNRNPU	MORF4L1
MBTD1	MORF4L1
HSPA4	MORF4L1
HNRNPM	MORF4L1
LMNA	MORF4L1
HDAC1	MORF4L1
HDAC2	MORF4L1
TUBB2A	MORF4L1
TUBA1A	MORF4L1
KAT5	MORF4L1
RBBP7	MORF4L1
MORF4L1	RUVBL1
MORF4L1	RUVBL2
ACTL6A	MORF4L1
ACTB	MORF4L1
ACTG1	MORF4L1
MORF4L1	MORF4L1
H2AZ2	MORF4L1
H2BC21	MORF4L1
MORF4L2	SRCAP
KDM5A	MORF4L2
SIN3B	MORF4L2
MORF4L2	PHF12
MORF4L2	EPC1
MORF4L2	EPC2
KPNB1	MORF4L2
HNRNPU	MORF4L2
MBTD1	MORF4L2
HSPA4	MORF4L2
HNRNPM	MORF4L2
LMNA	MORF4L2
HDAC1	MORF4L2
MORF4L2	HDAC2
TUBB2A	MORF4L2
MORF4L2	TUBA1A
KPNA2	MORF4L2
MORF4L2	KAT5
MORF4L2	RBBP7
MORF4L2	RUVBL1
MORF4L2	RUVBL2
ACTL6A	MORF4L2
ACTB	MORF4L2
ACTG1	MORF4L2
MORF4L2	H2AZ2
MORF4L2	H2BC21
SRCAP	MRGBP
EPC2	MRGBP
KPNB1	MRGBP
HNRNPU	MRGBP
MBTD1	MRGBP
HNRNPM	MRGBP
LMNA	MRGBP
TUBB2A	MRGBP
TUBA1A	MRGBP
KPNA2	MRGBP
RBBP7	MRGBP
ACTB	MRGBP
ACTG1	MRGBP
MRGBP	MRFAP1
H2AZ2	MRGBP
H2BC21	MRGBP
SIN3B	MRGBP
SIN3B	KDM5A
KDM5A	HDAC2
KDM1A	ESR1
KDM1A	EP300
KDM1A	PELP1
MAF	HDAC2
MAF	SIN3A
RB1	YY1
ING4	ING4
CTNNB1	CUL1
PELP1	LAS1L
PELP1	SENP3
DVL1	SIRT1
DVL2	SIRT1
CSNK2A1	SIRT1
CTNNB1	SIRT1
EP300	ATR
MLLT3	AFF4
MLLT3	AFF1
MLLT3	CDK9
MLLT3	SIRT1
CCNT1	MLLT3
MLLT3	NIPBL
MLLT3	EAF1
MLLT3	MLLT1
EEF2	MLLT3
RFX5	MLLT1
MLLT1	AFF4
CSNK2A1	MLLT1
MLLT10	MLLT1
CHD1	MLLT1
MLLT1	SIRT1
MLLT6	MLLT1
NPM1	HNRNPM
NPM1	HNRNPU
NPM1	DDX21
NPM1	H1-2
NPM1	SIRT1
NPM1	YBX1
NPM1	YBX3
NPM1	H1-10
PRMT1	CNOT8
CTCF	SMAD3
GMNN	CASP3
GMNN	CSNK2A1
GMNN	SMARCA2
RANGAP1	RANBP2
ATR	SNIP1
PPP1CA	TRIM28
PPP1CC	TRIM28
PPP1CB	TRIM28
PIAS1	DDX5
PPP1R12A	HDAC7
PPP1CB	HDAC7
YWHAB	HDAC7
RAC1	SET
THRA	PRKDC
THRA	SMC1A
THRA	LIG3
THRA	XRCC5
THRA	XRCC6
THRA	HSPA4
THRA	TBL1XR1
THRA	GPS2
THRB	PRKDC
THRB	SMC1A
PARP1	THRB
THRB	LIG3
THRB	XRCC5
THRB	XRCC6
THRB	HSPA4
THRB	TBL1XR1
HDAC3	THRB
THRB	GPS2
TBL1X	THRA
HDAC3	PRKDC
DNAJA2	HIRA
DNAJA2	RB1
SETMAR	PRPF19
TADA3	TXNRD2
RXRA	CTCF
GEMIN2	RAD50
TAF1	ASF1A
NCOR2	NCOA3
LPIN1	NFATC4
CEBPA	NFATC4
MECP2	SP3
NFKBIA	SKP1
SART1	UBL5
HDAC3	L3MBTL2
HSPA5	HDAC6
RXRA	MAPK3
ELK1	MAPK3
RXRA	MAPK1
SFPQ	MAPK1
SFPQ	PRKCI
MBD3	DDX5
DDX5	CHD3
EP300	NUTM1
BRD4	EP300
PPP1R8	SUZ12
RBBP4	PPP1R8
SMC1A	EHMT2
CCNT1	NSD3
DPY30	ARFGEF1
RCC1	NTMT1
KDM6B	SMAD4
KDM6B	SMAD1
H2BC21	PBRM1
CTBP2	KAT2B
ATF3	HDAC1
STAT1	PRKCE
HSP90AB1	PRKCE
HSP90AA1	HSP90AB1
ETV6	UBE2I
UBR5	SATB1
SATB1	TOPORS
CBX4	SATB1
PIAS1	SATB1
SATB1	PIAS3
RAD23A	UBE3A
RAD23B	UBE3A
H3-3B	DAXX
H3-3B	KAT2B
HCFC1	PHF8
SMARCB1	RB1CC1
TP53	RB1CC1
EHMT2	RUVBL2
SUV39H1	RUVBL2
HIF1A	RUVBL2
TAL1	TRIM33
TCF12	TRIM33
TCF3	TRIM33
LDB1	TRIM33
RUNX1T1	TRIM33
CBFA2T3	TRIM33
SSBP2	TRIM33
SSBP3	TRIM33
SSBP4	TRIM33
TCF4	TRIM33
TRIM33	SUPT16H
SSRP1	TRIM33
CDK9	TRIM33
TAL1	TAL1
TAL1	SUPT16H
TAL1	CDK9
CDK9	SUPT16H
SUPT16H	SUPT16H
PCGF2	USP7
PCGF2	USP11
RING1	USP7
USP11	RING1
PARP1	HDAC9
SMARCA4	HDAC9
RCC1	H2BC21
PRMT1	ASH2L
TP53	PRDM2
HDAC1	MEF2D
MEF2A	HDAC1
MDM2	EHMT1
SUV39H1	MDM2
TP53	EHMT1
HDAC1	SMC4
CCT8	HDAC1
VIM	HDAC1
TRIM21	HDAC1
SETD7	SIRT1
GPS2	NCOR2
RBX1	FBXW11
AXIN1	BTRC
GSK3B	BTRC
SMURF1	KLF2
H2AX	RPS6KA3
ATM	CHD4
STK4	SIRT1
ANP32A	CHAF1A
CHAF1A	ANP32B
CHAF1A	DDX41
HMGB2	CHAF1A
CHAF1A	NONO
CHAF1A	PAF1
PRKDC	CHAF1A
CHAF1A	PRPF31
RBM3	CHAF1A
RPS3	CHAF1A
RPS9	CHAF1A
SET	CHAF1A
XRCC5	CHAF1A
YWHAB	CHAF1A
XRCC6	CHAF1A
YWHAQ	CHAF1A
LYN	CENPV
MDM2	RPS27L
RPS27	MDM2
WFS1	SMURF1
MID1	PPP2CA
TP53	HMGA1
MORF4L1	TRRAP
EP400	MORF4L1
MORF4L2	TRRAP
MORF4L2	EP400
KDM1A	ESCO1
HDAC1	ESCO1
ESCO1	HDAC2
ESCO1	EHMT2
SUV39H1	ESCO1
SETDB1	ESCO1
YY1	NFE2L2
ESR1	GSN
ESR1	ACTB
ESR1	NPM1
ESR1	ACTC1
ESR1	RPL18
ESR1	DDX5
ESR1	RPLP0
ESR1	MYL6
ESR1	RPL7
ESR1	RPS4X
MYO1C	ESR1
DDX3X	ESR1
ESR1	RPS9
ESR1	ACTR3
ESR1	ACTR2
ACTB	ACTR3
ACTB	ACTR2
ESR1	POLR2A
KMT2A	KAT6A
WDR5	KAT6A
WAS	RBBP5
WAS	JMJD6
KDM4A	WAS
KDM6B	WAS
KDM6B	SMAD2
KDM6B	SMAD3
SMARCA4	TOPBP1
TPPP	HDAC6
MBD3	JUN
JUN	CHD3
JUN	MTA3
MAP3K7	IKBKG
POLB	PARP1
FOS	UBR1
FOS	MAPK7
CBL	STAP2
PPP6C	PPP6R3
PPP6C	PPP6R1
PPP6C	PPP6R2
PPP6C	ANKRD28
PPP6C	ANKRD44
ESR1	MBD2
TUBA1B	INO80
ESR1	RBBP6
NCOA1	RBBP6
MCM7	HIF1A
MCM3	HIF1A
MCM3	EPAS1
MCM7	EPAS1
MCM7	ELOC
MCM7	VHL
KDM5A	RBPJ
MCM2	ASF1B
MCM6	ASF1B
MSH6	MORF4L1
MORF4L2	MORF4L1
BRD1	H2AX
H2AX	KAT2A
H2AX	KAT8
H2AX	KAT2B
HAT1	H2AX
DAPK1	KLHL20
CUL3	KLHL20
DAPK1	CUL3
PML	KLHL20
LRRK2	STUB1
PIAS1	MAML1
MAML1	HDAC9
FANCG	HES1
HES1	FANCL
FANCC	FANCL
FANCC	HES1
HSPA4	HES1
HSP90AA1	HES1
SPTAN1	HES1
TRIM28	ZNF496
CBX3	ZNF496
SUZ12	USP7
EED	USP7
CDK9	AFF1
AFF1	AFF4
CCNT1	MLLT1
AFF1	KMT2A
KMT2A	AFF4
CDK9	KMT2A
CCNT1	KMT2A
AFF1	AFF1
RAC1	UNKL
SMARCD2	UNKL
PCNA	WDR48
NBN	TOPBP1
EME2	MUS81
EME2	FAAP24
FANCG	FAAP24
FAAP24	FANCL
INTS3	INTS1
INTS1	INTS4
INTS5	INTS1
INTS1	INTS6
INTS6L	INTS1
INTS1	INTS7
INTS8	INTS1
INTS1	INTS9
INTS1	INTS10
INTS11	INTS1
INTS1	INTS12
INTS3	INTS4
INTS3	INTS5
INTS3	INTS6
INTS6L	INTS3
INTS3	INTS7
INTS3	INTS8
INTS3	INTS9
INTS3	INTS10
INTS11	INTS3
INTS3	INTS12
INTS5	INTS4
INTS5	INTS6
INTS6L	INTS5
INTS5	INTS7
INTS5	INTS8
INTS5	INTS9
INTS11	INTS5
INTS5	INTS12
INTS4	INTS6
INTS6L	INTS6
INTS7	INTS6
INTS8	INTS6
INTS9	INTS6
INTS10	INTS6
INTS11	INTS6
INTS12	INTS6
POLR2A	INTS1
POLR2A	INTS3
POLR2A	INTS5
POLR2A	INTS6
POLR2B	INTS3
POLR2B	INTS5
POLR2B	INTS6
POLR2C	INTS5
POLR2C	INTS6
POLR2C	INTS3
INTS5	INTS10
POLR2B	INTS1
POLR2D	INTS3
POLR2D	INTS5
POLR2D	INTS6
POLR2E	INTS3
POLR2E	INTS5
POLR2E	INTS6
POLR2G	INTS3
POLR2G	INTS5
POLR2G	INTS6
POLR2H	INTS1
POLR2H	INTS3
POLR2H	INTS5
POLR2H	INTS6
POLR2J	INTS5
POLR2J	INTS6
POLR2L	INTS5
POLR2L	INTS6
PPP2R1A	INTS1
PPP2R1A	INTS3
PPP2R1A	INTS5
PPP2R1A	INTS6
PPP2R1B	INTS1
PPP2R1B	INTS3
PPP2R1B	INTS5
PPP2R1B	INTS6
PPP1CB	INTS1
PPP1CB	INTS6
PPP2CA	INTS1
PPP2CA	INTS6
PPP2CB	INTS1
PPP2CB	INTS6
PPP2CB	INTS3
PPP2CB	INTS5
INTS1	INTS13
INTS13	INTS6
INTS3	INTS13
INTS5	INTS13
INTS1	INTS14
INTS14	INTS6
INTS3	INTS14
INTS5	INTS14
INTS1	C7orf26
C7orf26	INTS6
INTS3	C7orf26
INTS5	C7orf26
NAIF1	INTS6
INTS3	NAIF1
NAIF1	INTS5
INTS1	NABP2
NABP2	INTS6
INTS3	NABP2
INTS5	NABP2
INTS1	ZMYND8
INTS3	ZMYND8
INTS5	ZMYND8
INTS6	ZMYND8
INTS3	ZNF592
INTS5	ZNF592
ZNF592	INTS6
MED12	MED13
CCNC	MED12
MED25	MED12
MED12	MED16
MED12	MED17
MED24	MED12
MED22	MED12
MED12	MED23
MED12	MED4
MED12	MED8
MED12	MED31
MED12	MED15
MED14	MED12
MED12	CDK19
MED12	RCOR1
POLR2E	MED12
MED27	MED12
MED12	MED20
MED12	MED11
MED21	MED12
CDK9	MED12
CCNC	MED1
MED1	CDK19
POLR2E	MED1
CDK9	MED1
ZC3H13	MED12
ZC3H13	MED13
CCNC	ZC3H13
ZC3H13	MED25
ZC3H13	MED16
ZC3H13	MED17
MED1	ZC3H13
ZC3H13	MED28
MED24	ZC3H13
ZC3H13	MED23
ZC3H13	MED4
ZC3H13	MED29
ZC3H13	MED8
ZC3H13	MED15
MED14	ZC3H13
ZC3H13	CDK19
ZC3H13	MED30
MED26	ZC3H13
POLR2A	ZC3H13
POLR2B	ZC3H13
ZC3H13	MED9
MED19	ZC3H13
ZC3H13	MED27
ZC3H13	MED20
MED21	ZC3H13
CDK9	ZC3H13
MED28	RCOR1
POLR2E	MED28
CDK9	MED28
TRIP4	MED12
TRIP4	MED13
TRIP4	MED25
TRIP4	MED17
MED1	TRIP4
TRIP4	MED28
MED24	TRIP4
TRIP4	MED23
TRIP4	MED4
TRIP4	MED8
TRIP4	MED15
TRIP4	MED10
POLR2A	TRIP4
TRIP4	RCOR1
TRIP4	MED27
TRIP4	MED11
MED12	STN1
STN1	MED13
MED25	STN1
STN1	MED16
STN1	MED17
MED1	STN1
MED24	STN1
STN1	MED23
STN1	MED4
STN1	MED29
MED8	STN1
MED14	STN1
MED30	STN1
POLR2A	STN1
STN1	MED9
STN1	RCOR1
MED27	STN1
MED12	QKI
QKI	MED13
MED25	QKI
QKI	MED16
QKI	MED17
MED1	QKI
MED24	QKI
QKI	MED23
QKI	MED4
QKI	MED29
QKI	MED31
QKI	MED15
MED14	QKI
MED26	QKI
QKI	MED10
POLR2A	QKI
MED27	QKI
UBE3A	UBE3A
TP53	UBE3A
CHD4	PARK7
HDAC1	PARK7
HDAC2	PARK7
MBD3	PARK7
GATAD2B	PARK7
RBBP4	PARK7
RBBP7	PARK7
ATRX	WRN
FANCG	PRDX3
FANCL	FANCL
CTNNB1	SATB1
HDAC1	TSC22D3
HDAC2	TSC22D3
SP1	EGR1
TP53	EHMT2
CEBPB	GSK3B
CEBPB	ATF3
ATF3	GSK3B
HERPUD1	AMFR
UBE3A	DLG1
UBE3A	SCRIB
KEAP1	KEAP1
SLC25A4	NFKBIA
ITCH	TP63
USP1	PCNA
SMAD7	SIRT1
EXTL3	XIAP
PABPC1	HNRNPD
ERBB2	IGF1R
PTTG1	UBE4A
EPM2A	PPP1R3C
SUMO1	NCOR2
UBE2I	NCOR2
ATG7	FOXO1
KMT2A	CTR9
KMT2A	LEO1
KMT2A	PAF1
KMT2A	CDC73
KMT2A	WDR61
SREBF1	TRRAP
SREBF1	KAT2A
SREBF1	ATM
SREBF1	GCN1
SREBF1	TADA2B
TADA3	SREBF1
SREBF1	RUVBL2
CDK2AP1	HDAC1
CDK2AP1	HDAC2
CDK2AP1	RBBP7
CDK2AP1	RBBP4
CDK2AP1	MBD3
CDK2AP1	MBD2
WDR82	KMT2C
WDR82	KMT2B
POLR2A	WDR82
KDM6A	WDR82
POLR2B	WDR82
HCFC1	WDR82
WDR82	PAXIP1
WDR82	PPP1R10
TOX4	WDR82
WDR82	ASH2L
RBBP5	WDR82
HSPA4	WDR82
CCT3	WDR82
WDR82	CCT7
CCT5	WDR82
WDR5	WDR82
PPP1CA	WDR82
PPP1CB	WDR82
PPP1CC	WDR82
KMT2D	WDR82
TOX4	PPP1CA
TOX4	PPP1CB
PPP1CB	PPP1R10
TOX4	PPP1CC
PPP1CC	PPP1R10
TOX4	TOX4
TOX4	PPP1R10
PPP1R10	PPP1R10
HSPA4	PPP1R10
TOX4	HSPA4
TOX4	VIM
BACH1	NFE2L2
SGF29	TRRAP
DCTN1	FBXL5
HSPA4	FANCC
SUB1	REST
SUB1	RCOR1
CBX5	SUB1
CLU	SYVN1
RUNX1T1	UBE2E2
SIAH1	UBE2E2
HDAC2	UBE2E2
HDAC1	BANP
PML	BANP
NFYB	HDAC1
SP1	NFYB
NFYB	CREBBP
RAD50	KAT5
NBN	KAT5
UBC	SNCA
ADRB2	MDM2
VHL	PRKCI
UCHL1	CTNNB1
PPP2CA	PRKDC
PPP6C	PRKDC
PRKDC	PPP6R1
PPP6R2	PRKDC
PRKDC	PPP6R3
PRKDC	PRKDC
FOXO1	STUB1
GSK3B	SMURF2
GUCY1B1	STUB1
GUCY1A1	STUB1
EDEM1	SEL1L
OCLN	ITCH
OCLN	EPN1
EPS15	OCLN
HGS	OCLN
DAXX	STUB1
ATXN3	UBQLN1
EPS15	UBQLN1
DNAJB2	UBQLN1
CASP3	RBX1
CASP3	FBXW11
CASP3	BTRC
EGLN1	EGLN1
TRIM28	CREBBP
TRIM28	SMARCAD1
SMARCA4	TRIM28
TRIM28	SMARCC1
YY1	MECP2
PRKDC	H3-3B
KPNA4	H3-3B
H3-3B	PARP2
XRCC5	H3-3B
XRCC6	H3-3B
TOP1	H3-3B
TP53	NOC2L
CDK4	WDR77
SMARCA4	WDR77
PRMT5	CDK4
BIRC6	DIABLO
CASP9	BIRC6
HTRA2	BIRC6
CDKN1B	UBE3A
SIVA1	TP53
SIVA1	MDM2
MDM2	MTA1
TRAF6	NUMBL
MDM4	USP7
DNMT1	HSPA4
DNMT1	SNRPG
HSPA5	DNMT1
USP7	DNMT3A
UBE3A	NELFCD
RIPK1	PELI1
SKP2	RASSF1
CUL1	RASSF1
SKP1	RASSF1
TP53	MDH1
TERF1	ZC3HAV1L
TERF1	RBM15B
KPNA2	TERF1
TERF1	STUB1
YY1	TERF1
TERF1	RBM33
TERF1	PABPC4
TERF1	MCCC2
TERF1	CSNK2B
TERF1	BMP2K
TERF1	CYFIP1
S100A8	TERF1
HSPA4	TERF1
ACTN1	TERF1
MCM7	TERF1
TERF1	DDB1
TERF1	PRDX4
CDK9	TERF1
FBXO21	TERF1
TERF1	CHD8
TOX4	TERF1
CLK3	TERF1
SEC16A	TERF1
TERF1	USP9X
RPS2	TERF1
CSNK2A2	TERF1
PLOD2	TERF1
TERF1	RING1
TERF1	ZNF281
TERF1	FOXJ3
TERF1	LARP7
TERF1	SAP30BP
TERF1	DST
XRCC5	TERF1
HSP90B1	TERF1
ACLY	TERF1
IDH3A	TERF1
TERF1	HSPH1
TERF1	SPTAN1
BAG3	TERF1
CCNT1	TERF1
MYH9	TERF1
TERF1	TBPL1
TERF1	KCTD15
TERF1	PLOD1
TERF1	RSBN1L
TERF1	RAD50
GTF2A2	TERF1
PCMT1	TERF1
TERF1	RPS7
PSMB5	TERF1
TERF1	GRPEL1
PSMA7	TERF1
PSMA2	TERF1
TERF1	PPP2CA
TERF1	PPP2CB
TERF1	GANAB
PRMT5	TERF1
TERF1	SYNE2
TERF1	RPS16
TERF1	TAF2
ATN1	TERF1
TERF1	CDC37
TERF1	ARHGEF18
TERF1	CDK13
RNF40	TERF1
UTRN	TERF1
DMD	TERF1
TERF1	RALGAPA1
TERF2	ZC3HAV1L
TERF2	RBM15B
TERF2	POT1
PLAT	TERF2
KPNA2	TERF2
TERF1	TERF2
TERF2	STUB1
YY1	TERF2
TERF2	RBM33
PABPC4	TERF2
TERF2	MCCC2
CSNK2B	TERF2
TERF2	BMP2K
TERF2	CYFIP1
DDX3X	TERF2
SF3B4	TERF2
S100A8	TERF2
HSPA4	TERF2
ACTN1	TERF2
MCM7	TERF2
TERF2	DDB1
PRDX4	TERF2
CDK9	TERF2
FBXO21	TERF2
TERF2	CHD8
TOX4	TERF2
CLK3	TERF2
SEC16A	TERF2
TERF2	DNAJB11
TERF2	TLN1
TERF2	MYO10
ABCD1	TERF2
KPNB1	TERF2
TERF2	USP9X
CSNK2A2	TERF2
PLOD2	TERF2
RING1	TERF2
TERF2	ZNF281
TERF2	FOXJ3
TERF2	LARP7
TERF2	SAP30BP
DST	TERF2
UGDH	TERF2
ERH	TERF2
TERF2	PITRM1
MYH10	TERF2
ATP2B1	TERF2
TERF2	SLTM
TERF2	THRAP3
CALD1	TERF2
HSP90B1	TERF2
ACLY	TERF2
IDH3A	TERF2
TERF2	HSPH1
BAG3	TERF2
TNKS	TERF2
CCNT1	TERF2
MYH9	TERF2
TBPL1	TERF2
TERF2	KCTD15
PLOD1	TERF2
TERF2	RSBN1L
GTF2A2	TERF2
TERF2	SYNE1
TERF2	POLDIP3
RPS6	TERF2
AP2A2	TERF2
TERF2	G3BP2
SEC24B	TERF2
CCNT2	TERF2
TERF2	OSBPL11
MTREX	TERF2
TERF2	CHD7
TERF2	VIRMA
TERF2	MACF1
TERF2	SMC3
TERF2	C20orf27
PCMT1	TERF2
GANAB	TERF2
PRMT5	TERF2
TERF2	SYNE2
TERF2	TAF2
ATN1	TERF2
TERF2	CDC37
CDK13	TERF2
RNF40	TERF2
UTRN	TERF2
DMD	TERF2
TERF2	RALGAPA1
DNAJA2	TERF2
GTF2A1	TERF2
TERF2	DHX33
TERF2	KIF13B
MCM3AP	TERF2
TERF2	RAVER1
TERF2	EDC3
U2AF2	TERF2
PRDX3	TERF2
IVD	TERF2
TERF2	RTL6
TERF2	ARMC6
SRSF11	TERF2
SNRNP70	TERF2
MARK3	TERF2
PFKL	TERF2
TERF2	CLASRP
FXR2	TERF2
TERF2	DARS2
TERF2	SDF2L1
TERF2	TBC1D15
TERF2	USP15
TERF2	PAXBP1
TERF2	REPIN1
TERF2	DHX40
BRD2	TERF2
TERF2	MARF1
TERF2	ZC3H13
TERF2	NFRKB
TERF2	DHX37
REV3L	TERF2
TERF2	SRRM2
MECP2	TERF2
TCOF1	TERF2
TERF2	PYCR2
NME4	TERF2
DUSP11	TERF2
BCKDK	TERF2
TERF2	SNX22
WDR5	TERF2
EEFSEC	TERF2
TERF2	GPATCH8
TERF2	OSBPL9
TERF2	TFIP11
PCBP1	TERF2
RPA2	BLM
RPA3	BLM
PLAT	POT1
DDX3X	POT1
S100A8	POT1
POT1	DNAJB11
ABCD1	POT1
RPS2	POT1
POT1	THRAP3
CALD1	POT1
SPTAN1	POT1
POLDIP3	POT1
RPS6	POT1
SFPQ	POT1
RPS19	POT1
PCMT1	POT1
RPS7	POT1
SNX22	POT1
PCBP1	POT1
ATXN2L	POT1
YTHDF1	POT1
RBM14	POT1
YTHDF3	POT1
DNAJB1	POT1
POT1	YTHDF2
CREBBP	POT1
PARP1	CTCF
EEF1D	SIAH1
MGRN1	MC1R
WDR5	PSMC5
PSMC5	ASH2L
WDR5	CREBBP
TNFRSF10A	CBL
TNFRSF10B	CBL
BACE1	FBXO2
TGFBR1	EP300
IST1	ANAPC2
IST1	FZR1
MDM2	RCHY1
HSPA4	CDK5RAP3
UBC	CDK5RAP3
HUWE1	CDK5RAP3
RPL10A	CDK5RAP3
PIP4P2	CDK5RAP3
NPM1	CDK5RAP3
RPS3	CDK5RAP3
ERBB4	WWP1
XIAP	BMPR2
VTA1	CHMP5
CHMP2A	VTA1
CHMP5	VPS4A
TNF	BIRC2
CHUK	TNF
IKBKB	TNF
TNF	IKBKG
TNF	TAB2
TNF	TNIP1
TNF	UBC
TNF	RBCK1
COPS5	BABAM2
BRCC3	COPS5
VCP	COPS5
HIPK2	WSB1
RPA1	TOP3A
FANCG	TOP3A
FANCG	BLM
FANCG	RPA1
HSPA4	TGFBR1
RPN1	SEL1L
UBE2D1	MDM2
MDM4	MDM4
CHUK	PRKCA
CHUK	PRKCI
IKBKB	PRKCA
IKBKB	PRKCI
H2AX	TP53I3
TP53BP1	TP53I3
HSP90AA1	CUL5
HSPA4	CUL5
ERBB2	CUL5
UBC	OTUB1
ABL1	STK4
FOXO3	STK4
CUL3	ARHGEF12
TP53	RNF34
TP53	RFFL
DVL2	MAP1LC3A
DVL2	GABARAP
DVL2	VHL
CHUK	DUSP1
IKBKB	DUSP1
DUSP1	PRKCI
VHL	MYBBP1A
ELOC	MYBBP1A
ELOB	MYBBP1A
MYBBP1A	TAF1D
NOP2	MYBBP1A
NCL	MYBBP1A
RIOX2	MYBBP1A
BIRC2	TNFRSF12A
RALGDS	FADD
UBE4B	UBE2D3
UBE4B	UBE4B
NR3C1	HDAC6
KLF5	TRIM25
HSP90AA1	PI4K2A
