# Graph Type: undirected
ABLIM1	KRT15
RAB33A	RTN4
TPM3	TFPT
RBPMS	ENKD1
STAT5A	PRTFDC1
HOOK2	UTP14A
FAM107A	NINL
TRIM9	BTRC
APPBP2	SYT11
BEGAIN	ENKD1
DTNB	PPFIBP2
FXR2	NECAB2
NOL3	ETNK2
TRIP13	PLK3
VPS72	MDFI
ZNRD2	FXR2
HPRT1	PRTFDC1
ENOX2	ENOX1
KRT15	PSMC5
LMO3	MBIP
TTR	ATF4
FAM107A	CALCOCO2
TRIM29	JAKMIP2
FAM107A	KRT19
KRT15	PRPH
KRT15	MAD2L1BP
WDR62	MAPK9
SNAPC5	NOL4
DAZAP2	CCDC120
NME1	NME3
TADA2A	TADA3
GYG2	GYS1
S100A2	S100A2
KHDRBS3	SIAH1
AP2B1	AP1M2
E2F6	TFDP2
EIF4E	EIF4EBP1
GEMIN6	GEMIN7
EPS8	BAIAP2
BHMT	BHMT
FANCG	FANCA
S100A1	S100A4
MAGOHB	RBM8A
EIF3G	EIF3C
ZBTB48	ZBTB8A
LMO3	ZBTB8A
PLAU	SERPINE2
FGF2	SDC1
FGF2	SDC2
FGF2	SDC4
BAX	PMAIP1
BCL2	PMAIP1
BCL2L1	PMAIP1
MCL1	BMF
BCL2A1	BMF
PMAIP1	BCL2A1
MCL1	PMAIP1
MYC	DNMT3A
BCL2	ITPR1
CAV3	JPH2
ERBB3	GRB2
PIK3R2	ERBB3
ERBB3	CSK
ERBB3	SHC1
ACAN	LUM
RET	STAT3
STAT3	EPHA5
MTOR	RPTOR
FKBP1A	RPTOR
SYT1	SV2C
MMP14	LUM
CUL1	FBXO4
RGS20	NSF
PSTPIP1	FDFT1
MAGEB2	USP7
GSK3B	GEMIN4
GEMIN4	RNPS1
VARS1	EEF1A2
ALDH16A1	PAAF1
PSTPIP1	RPL3
CD2BP2	DDX23
YWHAB	RAI14
KHK	AP2S1
EEF1D	EEF1A2
GEMIN4	NFKBIL1
WDCP	RUVBL1
PSTPIP1	ATIC
STK16	CNTF
DOK2	PSMD10
MRPS22	NFKBIL1
ARRB2	NOLC1
YWHAG	OSBPL3
DKK1	CORO1A
ARRB1	KHK
EIF4EBP1	UBAC1
WDCP	RUVBL2
TNFAIP8	PTP4A2
ARRB2	TCOF1
PAK4	LRRK1
CCN4	UGGT1
SKP1	FBXO4
ARRB2	DDX27
PYGM	PACSIN3
CAMK2B	CAMK2A
CAMK2D	CAMK2A
STK16	ICA1
CDC25B	KRT85
CUL1	RPRM
KRT31	DNPEP
